Well,Sample ID,Peak ID,Size (nt),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Size (nt),Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL)
D1,E. coli Total RNA,1,15,,87.5513,0.5471,1556,15,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,2,111,2,400.4543,13.7967,2784,111,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,3,131,10.3,1731.4836,71.8626,9100,131,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,4,144,2.4,355.7952,16.4772,4328,144,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,5,158,10.1,1397.0143,70.5178,15826,158,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,6,182,2.7,284.1949,18.5353,1026,182,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,7,309,1.2,84.2029,8.1365,774,309,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,8,402,1.5,81.6351,10.1123,937,402,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,9,474,1.4,62.4961,9.7445,793,474,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,10,609,0.6,22.7687,4.5061,659,609,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,11,813,1,26.5137,7.0318,840,813,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,12,987,1.2,27.2667,8.5685,989,987,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,13,1175,1.9,35.25,13.5402,1570,1175,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,14,1584,24,328.4307,166.7873,45769,1584,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,15,1871,2.9,32.1426,20.0522,2492,1871,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,16,2299,1.5,14.7172,10.6908,2240,2299,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,17,2508,1.6,13.8034,11.1241,2266,2508,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,18,2881,33.6,247.8674,233.2797,57173,2881,,694.7636,5146.0366,700.6476
D1,E. coli Total RNA,,,,,,,,,694.7636,5146.0366,700.6476
D2,E. coli Total RNA,1,15,,83.2797,0.5471,1666,15,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,2,111,1.9,180.0507,6.3186,1354,111,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,3,132,9.5,749.3333,31.3401,4356,132,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,4,145,2.5,178.9666,8.2881,2194,145,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,5,158,11.7,739.983,38.3012,8191,158,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,6,407,1.4,37.5734,4.5459,402,407,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,7,481,1.6,33.005,5.2414,447,481,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,8,618,1,16.1162,3.2257,496,618,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,9,822,1.7,20.4775,5.4834,682,822,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,10,1000,2.2,22.473,7.1485,861,1000,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,11,1182,2.6,22.3102,8.6913,1063,1182,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,12,1612,22.4,141.9764,73.5106,21754,1612,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,13,1926,2.9,14.6834,9.3956,1260,1926,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,14,2329,2.7,11.3334,8.8901,1039,2329,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,15,2970,35.9,121.0778,117.7938,31984,2970,,328.1743,2289.3596,331.6053
D2,E. coli Total RNA,,,,,,,,,328.1743,2289.3596,331.6053
D3,E. coli Total RNA,1,15,,87.5513,0.5471,1715,15,,133.3262,1004.8551,141.4218
