Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Size (bp),Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),DQN,Threshold
"A1","SampA1",1,35,,22.2230,0.4759,8614,35,,105.4148,356.9095,105.8573,9.8,300
"A1","SampA1",2,516,100.0,356.9095,105.4148,9765,516,,105.4148,356.9095,105.8573,9.8,300
"A1","SampA1",3,5000,,0.1643,0.5000,15394,5000,,105.4148,356.9095,105.8573,9.8,300
"A2","SampA2",1,35,,30.6224,0.6930,9626,35,,120.7301,424.4766,121.2567,9.7,300
"A2","SampA2",2,504,100.0,424.4766,120.7301,10400,504,,120.7301,424.4766,121.2567,9.7,300
"A2","SampA2",3,5000,,0.1647,0.5000,15264,5000,,120.7301,424.4766,121.2567,9.7,300
"A3","SampA3",1,35,,24.6997,0.5590,10890,35,,115.7816,410.5854,116.1432,9.6,300
"A3","SampA3",2,488,100.0,410.5854,115.7816,14397,488,,115.7816,410.5854,116.1432,9.6,300
"A3","SampA3",3,5000,,0.1645,0.5000,20033,5000,,115.7816,410.5854,116.1432,9.6,300
"A4","SampA4",1,35,,32.3807,0.7918,11845,35,,8.1959,29.4447,8.7000,9.4,300
"A4","SampA4",2,486,100.0,29.4447,8.1959,868,486,,8.1959,29.4447,8.7000,9.4,300
"A4","SampA4",3,5000,,0.1639,0.5000,19877,5000,,8.1959,29.4447,8.7000,9.4,300
"A5","SampA5",1,35,,24.5815,0.5265,11398,35,,122.7169,449.9340,123.1368,9.5,300
"A5","SampA5",2,61,0.3,10.4543,0.3890,777,61,,122.7169,449.9340,123.1368,9.5,300
"A5","SampA5",3,484,99.7,439.4796,122.3279,11037,484,,122.7169,449.9340,123.1368,9.5,300
"A5","SampA5",4,5000,,0.1640,0.5000,17744,5000,,122.7169,449.9340,123.1368,9.5,300
"A6","SampA6",1,35,,25.9580,0.5875,10210,35,,125.3826,454.4208,125.7239,9.6,300
"A6","SampA6",2,474,100.0,454.4208,125.3826,11512,474,,125.3826,454.4208,125.7239,9.6,300
"A6","SampA6",3,5000,,0.1639,0.5000,15952,5000,,125.3826,454.4208,125.7239,9.6,300
"A7","SampA7",1,35,,29.1678,0.6601,11393,35,,105.2569,392.7184,105.6516,9.4,300
"A7","SampA7",2,475,100.0,392.7184,105.2569,10311,475,,105.2569,392.7184,105.6516,9.4,300
"A7","SampA7",3,5000,,0.1644,0.5000,18205,5000,,105.2569,392.7184,105.6516,9.4,300
"A8","SampA8",1,35,,29.3575,0.6644,13980,35,,161.3608,571.0459,161.8492,9.7,300
"A8","SampA8",2,477,97.7,562.9249,157.7143,17687,477,,161.3608,571.0459,161.8492,9.7,300
"A8","SampA8",3,677,2.3,8.1210,3.6466,1597,677,,161.3608,571.0459,161.8492,9.7,300
"A8","SampA8",4,5000,,0.1647,0.5000,19516,5000,,161.3608,571.0459,161.8492,9.7,300
"A9","SampA9",1,35,,29.4216,0.7195,11922,35,,100.2263,381.3987,100.2742,9.5,300
"A9","SampA9",2,467,63.3,266.4630,63.4871,10407,467,,100.2263,381.3987,100.2742,9.5,300
"A9","SampA9",3,478,36.7,114.9356,36.7392,10470,478,,100.2263,381.3987,100.2742,9.5,300
"A9","SampA9",4,5000,,0.1647,0.5000,20104,5000,,100.2263,381.3987,100.2742,9.5,300
"A10","SampA10",1,35,,23.5342,0.5183,11781,35,,142.8551,508.4952,143.3614,9.8,300
"A10","SampA10",2,478,98.7,504.3987,141.0107,17034,478,,142.8551,508.4952,143.3614,9.8,300
"A10","SampA10",3,682,1.3,4.0964,1.8444,901,682,,142.8551,508.4952,143.3614,9.8,300
"A10","SampA10",4,5000,,0.1641,0.5000,19905,5000,,142.8551,508.4952,143.3614,9.8,300
