Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN,
A1,SampA1,150 bp to 270 bp,0.9442,0.9,6.144,253,5.67,300,9.8,小片段
A1,SampA1,150 bp to 1000 bp,105.3828,99.6,356.6338,486,18.25,300,9.8,RNA平均片段
A1,SampA1,200 bp to 1000 bp,105.3821,99.6,356.6301,486,18.24,300,9.8,DNA平均片段
A1,SampA1,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.8,接头
A1,SampA1,800 bp to 3000 bp,0.48,0.5,0.4955,1595,46.21,300,9.8,大片段
A1,SampA1,270 bp to 550 bp,81.2559,76.8,293.1806,456,14.38,300,9.8,RNA峰值片段位置
A1,SampA1,270 bp to 680 bp,102.997,97.3,349.5808,485,16.81,300,9.8,DNA峰值片段位置
A2,SampA2,150 bp to 270 bp,1.5288,1.3,9.9903,252,6.03,300,9.7,
A2,SampA2,150 bp to 1000 bp,120.8031,99.6,424.6416,468,18.77,300,9.7,
A2,SampA2,200 bp to 1000 bp,120.7995,99.6,424.6211,468,18.77,300,9.7,
A2,SampA2,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.7,
A2,SampA2,800 bp to 3000 bp,0.4529,0.4,0.4595,1622,45.97,300,9.7,
A2,SampA2,270 bp to 550 bp,100.3726,82.8,369.8527,447,14.99,300,9.7,
A2,SampA2,270 bp to 680 bp,118.1776,97.5,415.3854,468,17.29,300,9.7,
A3,SampA3,150 bp to 270 bp,1.6864,1.5,11.0643,251,6.29,300,9.6,
A3,SampA3,150 bp to 1000 bp,115.7642,99.7,410.9801,463,17.9,300,9.6,
A3,SampA3,200 bp to 1000 bp,115.7583,99.7,410.9471,463,17.9,300,9.6,
A3,SampA3,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.6,
A3,SampA3,800 bp to 3000 bp,0.3704,0.3,0.3584,1701,44.24,300,9.6,
A3,SampA3,270 bp to 550 bp,100.058,86.2,367.2843,448,14.41,300,9.6,
A3,SampA3,270 bp to 680 bp,113.3688,97.6,401.4103,465,16.4,300,9.6,
A4,SampA4,150 bp to 270 bp,0.2099,2.4,1.3587,254,4.72,300,9.4,
A4,SampA4,150 bp to 1000 bp,8.1971,94.2,29.4401,458,20.12,300,9.4,
A4,SampA4,200 bp to 1000 bp,8.1971,94.2,29.4401,458,20.12,300,9.4,
A4,SampA4,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.4,
A4,SampA4,800 bp to 3000 bp,0.2905,3.3,0.2224,2150,24.71,300,9.4,
A4,SampA4,270 bp to 550 bp,6.8084,78.3,25.4772,440,15.99,300,9.4,
A4,SampA4,270 bp to 680 bp,7.9401,91.3,28.3035,462,18.42,300,9.4,
A5,SampA5,150 bp to 270 bp,2.2883,1.9,15.035,250,7.26,300,9.5,
A5,SampA5,150 bp to 1000 bp,122.2523,99.3,439.8009,457,20.59,300,9.5,
A5,SampA5,200 bp to 1000 bp,122.2069,99.2,439.5382,457,20.56,300,9.5,
