Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"A1","W01241174238",1,35,,3.0446,0.0689,1620,,0.7658,5.1418,0.7915,,
"A1","W01241174238",2,219,24.4,1.4199,0.1865,1203,,0.7658,5.1418,0.7915,,
"A1","W01241174238",3,258,75.6,3.7218,0.5793,5684,,0.7658,5.1418,0.7915,,
"A1","W01241174238",4,5000,,0.0076,0.0230,771,,0.7658,5.1418,0.7915,,
"A2","W01241174239",1,35,,3.0446,0.0689,1621,,0.6546,4.4771,0.8421,,
"A2","W01241174239",2,214,27.0,1.3687,0.1765,1346,,0.6546,4.4771,0.8421,,
"A2","W01241174239",3,256,73.0,3.1084,0.4782,6094,,0.6546,4.4771,0.8421,,
"A2","W01241174239",4,5000,,0.0046,0.0138,537,,0.6546,4.4771,0.8421,,
"A3","W01241174240",1,35,,3.2172,0.0689,1484,,2.3064,18.3100,2.4236,,
"A3","W01241174240",2,49,3.9,2.9402,0.0898,1563,,2.3064,18.3100,2.4236,,
"A3","W01241174240",3,212,27.3,4.9273,0.6293,4359,,2.3064,18.3100,2.4236,,
"A3","W01241174240",4,247,68.8,10.4425,1.5873,16245,,2.3064,18.3100,2.4236,,
"A3","W01241174240",5,5000,,0.0089,0.0271,787,,2.3064,18.3100,2.4236,,
"A4","W01241174241",1,35,,3.2172,0.0689,1893,,1.5595,10.6551,1.6575,,
"A4","W01241174241",2,216,26.4,3.1942,0.4118,2707,,1.5595,10.6551,1.6575,,
"A4","W01241174241",3,250,73.6,7.4610,1.1477,13544,,1.5595,10.6551,1.6575,,
"A4","W01241174241",4,5000,,0.0082,0.0251,849,,1.5595,10.6551,1.6575,,
"A5","W01241174242",1,35,,2.2130,0.0689,1882,,0.1157,0.1399,0.1299,,
"A5","W01241174242",2,1179,100.0,0.1399,0.1157,1894,,0.1157,0.1399,0.1299,,
"A5","W01241174242",3,5000,,0.1282,0.3851,11419,,0.1157,0.1399,0.1299,,
"A6","W01241174243",1,35,,3.1285,0.0689,2106,,0.5826,4.5190,0.6627,,
"A6","W01241174243",2,154,26.3,1.6140,0.1532,1798,,0.5826,4.5190,0.6627,,
"A6","W01241174243",3,218,21.1,0.9371,0.1231,1271,,0.5826,4.5190,0.6627,,
"A6","W01241174243",4,254,52.6,1.9679,0.3063,6933,,0.5826,4.5190,0.6627,,
"A6","W01241174243",5,5000,,0.0060,0.0182,734,,0.5826,4.5190,0.6627,,
"A7","W01241174244",1,35,,3.2172,0.0689,2028,,1.0603,9.0857,1.1902,,
"A7","W01241174244",2,173,20.2,2.0911,0.2137,2864,,1.0603,9.0857,1.1902,,
"A7","W01241174244",3,198,79.8,6.9947,0.8466,10723,,1.0603,9.0857,1.1902,,
"A7","W01241174244",4,5000,,0.0115,0.0348,2112,,1.0603,9.0857,1.1902,,
"A8","W01241174245",1,35,,3.3112,0.0689,1653,,1.2247,1.8443,1.3867,,
"A8","W01241174245",2,690,10.8,0.3376,0.1327,1568,,1.2247,1.8443,1.3867,,
"A8","W01241174245",3,1100,89.2,1.5066,1.0920,18771,,1.2247,1.8443,1.3867,,
"A8","W01241174245",4,5000,,0.0106,0.0315,655,,1.2247,1.8443,1.3867,,
"A9","W01241174246",1,35,,3.1285,0.0689,933,,1.8316,12.1514,2.1122,,
