Size (bp),"A1: W14241174685","A2: W14241174686","A3: W01241174741","A4: W01241174742","A5: W01241174743","A6: W01241174744","A7: W01241174745","A8: W01241174746","A9: W01241174747","A10: W01241174748","A11: W01241174749","A12: W01241174750","B1: W01241174751","B2: W01241174752","B3: W01241174753","B4: W01241174754","B5: W01241174755","B6: W01241174756","B7: W01241174758","B8: W01241174759","B9: W01241174760","B10: W01241174761","B11: W01241174762","B12: W01241174763","C1: W01241174764","C2: W01241174765","C3: W01241174766","C4: W01241174767","C5: W01241174768","C6: W01241174769","C7: W01241174770","C8: W14241174898","C9: W14241174899","C10: W14241174900","C11: W14241174901","C12: W14241174925","D1: W14241174926","D2: W14241174927","D3: W14241174928","D4: W14241174929","D5: W14241174930","D6: W14241174931","D7: W14241174932","D8: W14241174933","D9: W14241174934","D10: W14241174935","D11: W14241174936","D12: W08241174937","E1: W08241174938","E2: W14241174911","E3: W14241174912","E4: W14241174913","E5: W14241174914","E6: W14241174915","E7: W14241174916","E8: W14241175068","E9: W14241175069","E10: W14241175070","E11: W14241175071","E12: W14241175072","F1: W14241175073","F2: W14241175074","F3: W14241175075","F4: W14241175076","F5: W14241175077","F6: W14241175078","F7: W14241175079","F8: W14241175080","F9: W14241175081","F10: W14241175082","F11: W14241175083","F12: W14241175084","G1: W14241175085","G2: W01241175086","G3: W01241175103","G4: W14241175225","G5: W14241175226","G6: W14241175227","G7: W14241175228","G8: W14241175229","G9: W14241175230","G10: W14241175231","G11: W14241175232","G12: W14241175233","H1: W14241175234","H2: W14241175244","H3:","H4:","H5:","H6:","H7:","H8:","H9:","H10:","H11:","H12:"
1.34,32.47,2.23,20.70,21.26,10.72,12.90,8.97,17.16,11.63,28.84,17.13,15.25,18.58,14.92,19.82,17.18,13.09,17.80,16.51,10.24,25.51,15.18,27.84,18.33,19.53,0.00,14.50,9.16,13.24,16.26,11.13,16.63,10.60,5.98,11.55,14.61,19.78,0.00,17.59,14.61,12.64,20.53,7.32,8.53,10.38,8.19,10.84,7.09,12.73,18.01,11.19,14.36,10.89,16.20,18.98,10.74,0.33,0.05,25.06,0.00,3.88,6.37,5.30,6.84,17.95,2.86,5.75,12.34,1.28,0.68,0.54,5.05,11.23,2.51,2.57,40.77,7.56,4.90,10.07,10.63,2.67,6.31,0.00,7.58,9.23,13.88,17.55,8.23,10.75,0.00,20.30,11.56,14.75,17.91,26.51,7.52
2.50,37.84,1.59,23.88,23.56,17.70,16.57,15.10,22.78,12.98,42.79,21.63,17.90,23.96,18.09,24.28,21.79,16.41,20.84,21.68,11.54,29.62,16.88,50.71,22.35,23.37,0.00,17.57,9.51,16.68,17.59,17.91,17.86,13.89,9.35,13.02,17.14,22.28,0.00,20.50,17.27,22.54,25.74,8.85,9.78,14.90,9.08,14.26,8.73,15.57,20.03,14.76,19.06,15.52,17.75,21.71,9.88,1.64,0.00,21.19,1.36,4.72,7.26,5.21,9.11,24.68,4.92,5.72,13.74,3.09,0.80,2.16,7.60,14.25,4.50,4.84,0.00,9.66,9.28,11.64,13.65,4.99,8.07,0.00,11.02,11.55,17.57,21.75,5.27,11.39,0.00,24.38,13.48,16.94,22.07,35.69,12.90
3.66,42.55,1.01,27.98,27.97,23.90,26.62,18.61,43.23,15.00,0.00,25.94,21.18,28.52,21.46,28.95,27.05,20.28,24.35,29.09,18.45,32.31,20.27,58.10,26.83,29.52,0.00,20.93,10.92,21.55,20.15,21.09,20.16,16.45,12.89,16.53,19.98,24.21,0.00,22.55,20.19,25.32,33.98,11.21,12.00,19.60,11.23,19.28,12.29,20.50,21.32,17.70,22.36,20.38,18.85,24.46,12.15,5.00,0.94,18.80,3.42,6.39,10.75,6.78,12.85,31.93,7.44,5.81,0.00,5.02,1.28,4.32,9.83,17.54,7.70,6.76,0.00,13.30,14.07,17.00,18.12,8.42,10.61,0.30,16.47,16.00,23.01,26.01,6.26,12.78,0.00,30.03,17.75,22.09,28.05,42.11,19.29
4.82,47.20,0.53,7.33,35.25,29.80,31.77,22.97,56.87,18.08,5.83,31.22,24.93,33.21,25.28,33.71,31.75,25.19,28.49,38.41,23.37,34.50,25.20,60.26,31.40,38.77,0.00,24.40,13.52,27.36,25.07,23.74,23.78,21.09,16.47,21.61,23.00,28.34,0.00,25.12,24.18,21.18,62.06,14.32,15.56,23.50,19.94,24.45,17.13,27.31,24.53,20.07,24.77,24.45,21.33,28.81,0.00,11.13,3.44,20.40,5.43,9.32,15.84,10.33,16.84,40.73,10.69,7.55,4.44,7.22,4.73,6.59,11.57,21.62,11.57,8.46,0.00,18.73,18.96,25.91,23.58,14.15,14.59,1.67,23.90,23.03,27.56,29.96,11.64,15.07,0.00,38.60,23.53,29.23,34.66,46.10,27.01
5.98,54.02,0.00,16.37,44.87,36.73,38.39,28.35,71.67,22.24,1.44,38.72,30.56,39.65,29.58,39.70,46.42,30.85,33.27,48.60,29.42,37.58,32.26,61.24,36.97,51.97,0.00,28.30,18.45,34.60,31.18,27.98,28.76,25.30,19.93,26.28,26.39,35.57,0.00,30.34,29.72,14.53,76.22,18.72,20.18,26.98,25.43,30.27,22.60,34.38,30.01,23.27,27.75,30.62,30.57,35.40,7.66,19.84,7.66,25.46,8.49,13.56,21.04,15.54,20.33,51.62,16.00,19.09,13.28,10.63,11.56,9.17,13.92,27.08,16.04,11.21,0.00,26.02,24.73,36.96,30.35,21.56,19.91,5.07,33.78,31.70,31.34,34.88,19.97,18.47,1.17,49.23,30.64,37.89,40.26,50.01,37.32
7.14,64.36,0.00,26.98,55.14,46.14,47.80,34.33,0.00,27.53,0.00,48.89,50.29,48.46,34.70,47.29,57.29,36.94,38.53,59.08,37.18,42.44,42.59,65.17,45.26,68.34,0.00,39.53,22.00,42.62,36.42,34.64,34.75,31.77,24.02,30.78,30.57,43.93,5.16,38.77,36.29,10.56,85.96,25.05,25.76,30.80,31.65,38.47,28.33,41.64,36.70,28.92,32.56,40.74,36.03,43.23,16.25,29.83,14.48,31.20,12.75,0.00,25.74,22.04,24.63,62.90,24.93,28.65,18.93,16.19,18.83,12.76,18.13,34.57,21.67,15.59,0.00,35.65,32.19,50.44,39.76,29.30,26.53,10.43,46.24,41.10,37.20,43.03,29.37,23.61,11.43,60.45,40.72,48.77,52.11,55.34,50.27
8.30,78.12,0.92,37.17,65.38,57.46,60.45,41.02,14.12,34.30,0.00,61.48,63.26,59.37,49.94,56.25,68.45,44.09,44.68,69.14,46.68,49.20,55.79,72.40,56.61,85.36,0.00,47.70,28.27,50.45,41.13,43.33,40.38,39.56,29.76,37.58,36.76,52.23,12.05,49.04,43.29,12.12,90.48,33.84,32.38,35.55,39.64,49.29,34.98,50.43,44.05,37.34,47.56,52.65,42.25,51.23,25.97,39.17,23.39,35.91,17.58,11.65,30.99,29.89,31.04,71.00,36.66,38.94,25.60,33.28,32.35,18.27,24.28,44.13,28.81,21.56,12.95,47.81,40.26,67.32,52.12,37.15,35.29,16.58,0.00,51.45,46.49,55.15,38.67,30.04,22.71,71.30,55.15,61.78,62.58,62.14,64.45
9.46,93.50,2.51,44.53,76.24,70.19,75.05,49.33,22.87,43.02,0.00,0.00,79.84,71.68,60.70,66.83,78.39,53.39,64.08,84.84,56.95,57.81,68.63,81.14,69.41,99.51,0.00,56.70,35.43,58.58,47.83,54.29,45.29,47.67,37.09,47.77,46.29,62.43,18.38,59.25,51.23,18.91,92.19,44.19,39.05,41.71,49.85,60.46,43.48,61.09,52.00,47.38,57.16,63.83,50.09,59.30,36.13,42.82,31.58,40.13,23.62,24.36,36.98,39.34,39.80,73.10,47.04,49.03,33.32,46.34,42.63,26.09,31.97,62.07,37.44,28.94,29.54,60.96,46.38,85.65,65.26,45.32,46.82,23.12,13.68,63.04,58.21,69.60,47.92,36.74,35.28,80.26,73.34,75.02,74.88,70.06,77.00
10.62,107.14,3.27,47.78,86.21,0.00,0.00,60.22,24.38,53.69,0.00,12.94,100.74,0.00,73.35,78.06,84.80,64.52,76.97,0.00,65.86,69.04,76.51,0.00,81.34,106.89,0.00,65.12,48.22,67.62,57.50,67.46,51.66,55.67,45.08,59.35,59.04,75.77,24.85,67.63,60.71,36.71,0.00,53.54,44.51,48.35,61.17,69.62,53.26,72.27,59.94,57.39,67.82,73.36,59.22,67.40,44.85,46.47,36.53,45.02,0.00,35.90,40.99,49.78,50.74,70.72,51.48,59.31,43.27,62.52,54.29,35.71,41.34,64.70,47.16,36.53,44.85,71.89,48.90,99.95,75.27,52.56,60.23,31.22,25.18,73.73,71.43,83.58,57.58,44.26,59.31,84.95,93.11,85.92,87.04,77.44,83.76
11.79,115.55,3.21,47.29,91.77,9.57,7.49,86.22,19.77,65.35,2.57,26.25,123.51,7.07,85.95,86.48,86.88,74.80,88.59,7.85,70.28,83.45,76.73,6.01,89.77,105.49,0.00,0.00,56.40,76.86,67.50,81.20,61.72,62.21,53.89,68.63,72.22,88.65,39.02,72.79,70.84,40.62,4.14,63.23,48.98,53.84,71.22,79.45,62.94,81.47,65.72,66.26,77.45,79.73,0.00,73.66,50.74,51.45,38.80,50.00,10.85,46.03,41.05,59.19,62.08,70.42,49.16,68.93,55.31,77.22,63.87,45.93,51.73,63.81,56.93,42.25,54.65,78.20,49.09,105.68,79.86,56.90,73.40,41.76,33.25,79.57,85.54,93.55,66.20,54.29,63.32,84.85,111.53,92.28,97.72,81.19,82.56
