Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,W14241174685,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,6.7
A1,W14241174685,150 bp to 260 bp,0.0712,19.7,0.5057,232,7.73,300,6.7
A1,W14241174685,200 bp to 4000 bp,0.3583,98.9,1.3243,445,70.13,300,6.7
A1,W14241174685,650 bp to 4000 bp,0.0472,13.0,0.0802,968,59.89,300,6.7
A2,W14241174686,100 bp to 150 bp,0.0949,5.2,1.2695,123,12.19,300,3.9
A2,W14241174686,150 bp to 260 bp,0.1193,6.6,0.9668,203,16.45,300,3.9
A2,W14241174686,200 bp to 4000 bp,0.8052,44.5,1.6109,823,84.28,300,3.9
A2,W14241174686,650 bp to 4000 bp,0.3613,20.0,0.4459,1334,56.85,300,3.9
A3,W01241174741,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,8.0
A3,W01241174741,150 bp to 260 bp,0.0175,9.4,0.1238,233,8.74,300,8.0
A3,W01241174741,200 bp to 4000 bp,0.1841,98.6,0.4987,607,105.49,300,8.0
A3,W01241174741,650 bp to 4000 bp,0.0305,16.4,0.0294,1707,57.42,300,8.0
A4,W01241174742,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,8.1
A4,W01241174742,150 bp to 260 bp,0.0079,7.5,0.0546,239,6.46,300,8.1
A4,W01241174742,200 bp to 4000 bp,0.1042,98.4,0.2526,679,113.74,300,8.1
A4,W01241174742,650 bp to 4000 bp,0.0185,17.5,0.0148,2062,47.70,300,8.1
A5,W01241174743,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,8.5
A5,W01241174743,150 bp to 260 bp,0.0163,6.4,0.1144,234,8.24,300,8.5
A5,W01241174743,200 bp to 4000 bp,0.2488,97.8,0.5137,797,102.93,300,8.5
A5,W01241174743,650 bp to 4000 bp,0.0694,27.3,0.0622,1837,50.87,300,8.5
A6,W01241174744,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,7.7
