Size (bp),"A1: W01241176865","A2: W01241176866","A3: W01241176867","A4: W01241176868","A5: W01241176869","A6: W01241176870","A7: W01241176871","A8: W01241176872","A9: W01241176873","A10: W01241176874","A11: W01241176875","A12: W01241176876","B1: W01241176877","B2: W01241176878","B3: W01241176879","B4: W01241176880","B5: W01241176881","B6: W01241176882","B7: W01241176883","B8: W01241176884","B9: W01241176885","B10: W01241176886","B11: W01241176887","B12: W01241176888","C1: W01241176889","C2: W01241176890","C3: W01241176891","C4: W01241176892","C5: W01241176893","C6: W01241176894","C7: W01241176895","C8: W01241176896","C9: W01241176897","C10: W01241176898","C11: W01241176899","C12: W01241176900","D1: W01241176901","D2: W01241176902","D3: W01241176903","D4: W01241176904","D5: W01241176905","D6: W01241176906","D7: W01241176907","D8: W01241176908","D9: W01241176909","D10: W01241176910","D11: W01241176911","D12: W01241176912","E1: W01241176913","E2: W01241176914","E3: W01241176915","E4: W01241176916","E5: W01241176917","E6: W01241176918","E7: W01241176919","E8: W01241176920","E9: W01241176921","E10: W01241176922","E11: W01241176923","E12: W01241176924","F1: W01241176925","F2: W01241176926","F3: W01241176927","F4: W01241176928","F5: W01241176929","F6: W01241176930","F7: W01241176931","F8: W01241176932","F9: W01241176933","F10: W01241176934","F11: W01241176935","F12: W01241176936","G1: W01241176937","G2: W01241176938","G3: W01241176939","G4: W01241176940","G5: W01241176941","G6: W01241176942","G7: W01241176943","G8: W01241176944","G9: W01241176945","G10: W01241176946","G11: W01241176947","G12: W01241176948","H1: W01241176949","H2: W01241176950","H3: W01241176951","H4: W01241176952","H5: W01241176953","H6: W01241176954","H7: W01241176955","H8: W01241176956","H9: W01241176957","H10: W01241176958","H11: W01241176959","H12:"
1.00,4.61,7.39,0.00,5.79,0.00,2.03,5.02,0.12,5.38,9.17,1.49,0.00,0.00,1.73,2.13,0.46,3.90,2.31,3.46,1.62,3.49,3.84,5.01,4.85,5.80,0.14,0.00,7.88,2.18,0.84,16.07,0.00,0.00,0.00,1.98,2.61,0.00,2.79,4.79,7.42,8.46,9.56,2.66,0.00,5.69,0.00,1.15,2.15,2.21,0.00,4.35,0.31,0.13,0.00,0.00,8.65,0.00,2.01,30.47,8.60,0.00,1.26,2.26,1.09,3.39,2.48,2.26,5.96,1.66,0.00,2.61,0.34,7.97,0.00,0.00,0.00,2.17,0.00,2.72,0.79,3.86,0.58,6.30,7.82,2.86,5.97,5.48,5.01,0.00,7.34,0.00,1.65,0.00,0.17,7.12,14.26
2.00,8.55,10.30,1.81,7.65,2.27,0.98,6.38,3.04,5.32,11.95,1.61,0.00,0.00,2.12,2.41,0.00,4.62,3.70,3.29,1.96,5.16,6.58,9.23,3.70,6.58,2.24,0.00,9.58,2.79,3.81,13.23,0.00,0.69,0.88,3.42,4.66,1.79,4.60,5.08,5.45,11.07,9.98,1.53,0.00,7.46,0.00,3.10,2.41,5.61,1.09,4.71,2.91,0.94,0.00,0.00,9.98,0.00,3.43,40.29,9.16,0.00,2.48,2.27,1.10,2.77,3.64,3.48,6.54,2.33,0.00,2.06,0.00,10.90,0.00,0.03,0.00,4.27,0.70,3.97,1.94,4.08,1.66,8.10,8.54,6.34,7.47,7.64,7.55,1.53,7.82,2.06,1.68,0.78,0.00,7.40,14.40
3.00,13.94,13.79,6.37,10.93,5.84,2.05,8.13,9.82,5.67,13.87,3.48,0.00,0.00,4.24,1.97,0.19,4.47,4.87,3.57,2.67,7.54,10.51,14.50,2.78,8.64,5.57,4.34,12.36,5.23,5.95,11.04,3.05,2.55,3.22,4.21,7.60,5.33,5.41,5.22,4.99,15.81,11.80,0.44,1.41,8.14,0.59,9.55,5.84,10.18,2.89,6.59,4.56,4.84,0.16,2.26,10.58,0.00,4.55,48.71,10.89,0.00,11.77,2.65,2.17,1.26,7.50,5.74,6.59,2.88,0.00,2.15,0.13,14.49,0.00,6.10,1.94,9.28,2.77,5.96,2.74,5.38,2.93,9.88,9.87,12.39,9.61,9.59,11.00,5.00,9.98,7.12,1.34,3.36,0.00,7.71,15.66
4.00,19.31,17.57,12.09,16.00,8.85,3.88,9.70,14.43,6.66,18.49,6.97,0.00,0.00,6.29,1.96,1.84,4.82,6.82,4.45,4.78,11.39,16.30,20.30,2.93,12.46,9.39,9.77,14.98,8.71,7.97,8.09,7.43,3.76,6.80,3.71,10.52,10.56,6.03,6.11,7.49,30.79,14.67,0.95,4.95,8.21,2.23,11.55,7.87,15.34,6.04,10.93,6.52,11.64,1.52,6.39,10.52,0.00,5.41,52.27,12.46,3.53,20.30,4.09,5.18,0.14,11.84,9.13,7.69,3.46,2.76,2.95,0.83,17.78,5.33,13.47,5.78,16.67,5.68,9.24,3.29,7.72,4.25,10.92,12.11,20.61,12.61,14.52,15.59,9.40,14.77,13.23,3.04,6.32,0.00,9.76,18.49
5.00,23.80,22.00,18.95,22.65,11.24,7.25,12.48,21.13,14.45,22.04,11.46,0.00,0.00,8.35,3.26,5.09,7.16,9.96,6.12,8.59,16.81,23.74,27.84,4.34,19.04,13.87,18.31,16.45,12.57,11.09,4.91,11.08,8.01,11.36,1.94,12.95,17.48,7.87,8.78,11.02,41.49,17.47,2.93,8.31,8.31,4.29,12.96,10.88,20.10,11.34,18.26,9.02,28.28,3.69,10.96,11.10,3.39,6.80,51.60,13.94,11.24,29.09,6.60,8.68,0.18,15.60,11.70,9.20,5.13,5.10,6.15,1.59,21.25,13.50,21.23,19.16,25.32,10.20,13.92,4.77,11.73,6.39,12.17,14.63,30.33,16.71,20.32,21.84,15.32,21.35,20.50,8.03,9.20,0.00,13.66,22.47
6.00,27.16,26.73,25.80,30.53,14.98,12.30,18.18,28.44,22.75,27.82,17.98,0.00,0.00,11.97,6.37,9.78,11.35,13.49,10.17,13.35,32.45,31.33,38.18,6.94,28.97,19.70,29.59,17.06,16.35,16.03,2.08,14.44,16.45,16.88,0.23,15.28,25.26,11.88,12.97,13.32,53.23,20.06,5.30,11.69,9.38,7.78,14.54,14.37,23.81,18.18,27.92,11.56,35.53,6.14,13.90,13.62,8.63,9.63,52.15,16.76,20.63,36.94,9.39,11.03,0.49,19.08,12.64,9.45,9.04,6.81,8.76,2.70,25.93,22.50,29.40,28.62,34.46,15.88,19.34,8.91,18.32,10.87,15.41,17.20,40.16,21.43,27.44,29.84,22.90,28.70,28.48,15.19,13.09,0.00,19.66,27.85
7.00,29.20,30.38,30.38,38.22,20.63,17.52,26.31,34.19,32.39,35.32,27.49,0.00,0.00,17.03,19.09,15.44,22.82,16.83,17.09,18.49,39.44,37.99,49.78,10.27,48.86,26.52,41.20,18.12,19.94,22.49,2.08,20.16,26.66,22.46,0.00,17.09,31.92,18.17,17.01,14.91,62.71,23.15,7.58,16.01,12.51,13.56,16.86,17.37,26.46,24.86,37.06,13.75,40.32,13.15,14.89,18.39,14.45,13.82,60.90,21.58,29.45,42.55,11.68,13.07,0.03,22.76,13.81,9.18,14.48,8.64,12.08,4.96,30.94,31.85,37.09,38.90,42.40,21.13,25.87,15.97,26.97,18.01,20.47,20.94,47.96,26.10,33.52,38.71,30.63,35.47,35.39,23.94,25.04,0.00,38.08,34.47
8.00,29.98,31.69,30.74,42.80,25.87,21.42,34.14,36.83,40.46,41.49,47.40,0.00,2.68,22.72,27.06,28.13,28.19,19.90,25.63,24.00,42.45,43.51,58.57,13.34,52.51,32.97,50.39,20.72,24.38,29.78,4.71,28.16,34.79,26.05,0.00,18.08,34.90,26.37,19.61,17.60,66.34,26.76,9.53,21.78,17.57,20.07,20.08,20.37,27.93,29.50,42.63,16.37,42.24,16.91,15.74,23.80,20.72,17.85,80.78,27.28,38.29,44.32,14.01,16.55,0.00,26.25,17.00,10.68,19.51,10.87,16.23,9.27,34.15,39.40,41.33,47.02,46.51,24.64,33.93,24.41,35.56,25.62,25.84,27.05,51.84,30.57,36.74,50.69,35.11,40.07,39.13,34.01,32.58,0.00,45.36,40.07
9.00,30.36,30.76,27.77,40.85,27.91,22.97,38.85,36.43,44.90,43.05,52.39,0.00,6.83,33.65,35.49,32.58,30.62,22.34,46.94,28.87,42.37,46.88,61.18,15.08,53.24,37.14,55.37,24.34,35.47,37.27,7.35,34.76,38.89,27.18,0.00,19.41,33.86,36.30,22.75,21.73,63.18,29.76,10.93,28.20,22.31,24.71,23.47,24.23,29.17,30.68,44.21,20.39,43.49,19.69,18.20,27.57,26.07,19.96,106.68,32.35,36.03,43.21,17.27,20.79,1.42,28.67,21.95,20.33,23.04,13.47,21.47,15.23,35.10,41.81,36.40,50.86,46.17,26.39,40.94,32.22,41.21,30.35,30.69,47.65,51.97,35.16,37.39,51.09,34.52,42.78,39.46,42.51,41.11,0.00,47.17,41.99
10.00,31.33,29.78,25.99,41.83,26.61,21.88,40.62,35.16,46.25,39.90,53.54,2.21,9.42,35.31,44.26,34.48,31.67,23.67,56.53,30.73,43.15,47.68,58.59,15.23,54.34,37.56,56.25,29.90,38.41,49.13,7.76,37.80,38.61,27.87,0.00,21.96,32.83,47.70,25.77,26.01,57.01,30.95,12.09,33.14,24.27,26.93,25.87,27.95,35.51,27.99,43.72,25.13,46.82,20.89,22.38,29.43,28.89,20.03,126.99,36.43,32.44,44.39,20.84,23.10,2.97,30.27,27.65,25.92,25.00,16.40,27.13,24.85,35.41,39.11,35.60,51.75,45.32,27.65,43.79,37.25,42.23,30.71,34.33,60.04,51.94,39.77,38.58,49.02,31.93,46.16,39.50,47.63,49.50,0.00,44.92,40.47
11.00,33.42,32.62,30.07,49.30,25.74,20.31,43.41,35.58,47.24,36.33,53.90,3.81,10.27,36.57,51.86,35.31,35.72,23.98,60.79,24.53,49.10,49.46,56.48,15.32,58.67,35.34,55.10,32.24,38.53,56.22,6.77,38.95,34.85,0.00,0.00,25.09,36.57,60.32,30.53,29.41,54.54,31.01,13.71,35.34,23.61,28.11,27.13,29.33,38.41,33.19,44.09,29.01,53.69,20.76,26.81,30.53,29.21,19.25,131.48,39.36,34.04,53.75,23.79,22.66,4.35,33.41,33.05,29.60,25.78,18.82,31.60,27.73,37.02,36.74,42.48,53.34,51.09,30.25,43.84,38.26,39.79,28.74,35.67,70.04,56.99,43.81,44.54,48.33,33.29,52.45,44.10,51.70,56.41,0.00,44.43,37.75
12.00,37.50,41.80,40.99,63.22,30.00,21.79,49.99,39.55,51.18,38.53,59.18,7.40,11.34,42.62,64.53,38.02,43.59,24.01,60.27,24.59,63.45,57.73,61.28,17.43,68.82,41.73,54.44,35.49,37.88,69.79,7.88,41.13,31.56,1.61,0.00,28.51,46.72,95.53,36.60,32.41,61.48,33.43,15.78,35.75,22.63,29.92,28.88,28.08,41.70,45.11,49.10,32.10,65.39,21.78,29.58,31.27,29.06,18.44,104.01,40.71,45.13,72.85,27.01,25.60,7.38,40.65,37.52,30.26,26.63,19.87,34.03,30.24,41.17,41.58,59.19,58.82,68.37,36.57,46.36,37.64,42.94,28.94,35.18,75.22,69.84,48.14,57.55,54.50,42.22,62.49,55.98,62.50,62.25,0.13,51.40,35.28
13.00,45.66,67.88,55.38,79.22,40.68,27.59,60.60,48.68,59.95,70.69,74.27,16.13,14.85,55.15,73.99,44.48,52.66,24.82,60.48,33.89,85.63,74.42,75.30,22.47,85.08,56.86,58.53,40.80,40.25,91.14,13.89,46.55,34.53,4.71,0.00,33.56,62.67,119.12,43.81,36.74,78.96,39.12,17.53,36.99,23.20,34.14,33.00,27.12,47.19,59.66,80.81,36.17,81.82,26.27,30.56,35.06,30.90,19.09,96.93,45.28,64.39,97.18,32.83,33.03,14.31,52.52,42.47,29.33,29.54,20.87,35.94,33.49,48.66,57.27,83.95,69.25,95.22,48.71,56.31,51.74,58.74,35.02,39.96,77.33,88.47,55.62,76.01,71.08,58.08,91.41,73.76,79.15,70.16,0.32,67.62,34.03
14.00,59.01,73.39,71.90,90.07,54.97,36.27,74.11,62.16,71.99,94.83,97.90,31.17,22.22,71.96,86.51,54.69,62.17,27.55,67.54,53.15,107.89,95.46,113.07,30.00,102.90,75.31,73.68,49.33,48.45,116.02,25.18,74.83,46.33,56.05,0.78,41.17,81.42,140.88,52.19,44.23,101.76,47.48,19.21,43.04,26.62,42.31,39.54,30.02,54.62,70.75,99.36,42.04,99.54,33.02,32.14,41.41,36.24,24.09,105.03,54.30,84.34,117.87,59.93,42.55,24.95,67.84,62.27,30.30,36.16,24.61,40.65,38.66,59.17,82.29,109.33,82.64,122.50,65.14,74.53,68.29,83.17,47.36,51.07,81.92,106.28,68.30,94.53,95.62,76.93,100.27,91.96,97.22,83.12,0.52,90.02,35.69
15.00,74.56,69.19,66.47,90.60,72.07,51.67,86.66,74.17,82.26,114.80,121.84,67.45,33.92,88.97,101.23,68.58,72.50,41.45,82.91,76.13,118.44,112.11,120.47,38.24,113.94,87.76,100.20,60.75,62.30,137.03,39.62,95.00,63.87,119.27,5.43,50.35,95.82,155.67,61.15,55.45,120.15,55.92,22.66,57.30,34.42,66.71,47.34,38.02,62.92,72.13,109.06,56.31,118.49,39.83,37.12,50.86,58.34,34.72,125.88,68.61,93.97,125.66,80.92,51.31,36.64,98.46,77.09,35.96,62.15,32.82,50.92,46.23,69.73,109.75,124.59,93.56,138.92,79.27,96.18,83.95,106.95,63.07,67.74,93.86,114.21,84.91,106.06,119.18,93.68,96.65,101.48,111.22,98.87,2.42,110.13,41.78
