Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),,
"A1","W01241176865",1,35,,0.5521,0.0118,1738,,0.0788,0.1623,0.3539,,
"A1","W01241176865",2,739,50.5,0.0900,0.0398,2173,,0.0788,0.1623,0.3539,,
"A1","W01241176865",3,831,49.5,0.0724,0.0390,1992,,0.0788,0.1623,0.3539,,
"A1","W01241176865",4,5000,,0.0027,0.0082,2231,,0.0788,0.1623,0.3539,,
"A2","W01241176866",1,35,,0.5682,0.0118,1405,,0.0000,0.0000,0.2457,,
"A2","W01241176866",2,5000,,0.0031,0.0094,2224,,0.0000,0.0000,0.2457,,
"A3","W01241176867",1,35,,0.5521,0.0118,1238,,0.1367,0.3204,0.3038,,
"A3","W01241176867",2,676,100.0,0.3204,0.1367,2401,,0.1367,0.3204,0.3038,,
"A3","W01241176867",3,5000,,0.0022,0.0066,1255,,0.1367,0.3204,0.3038,,
"A4","W01241176868",1,35,,0.5225,0.0118,1880,,0.1186,0.2795,0.3604,,
"A4","W01241176868",2,679,100.0,0.2795,0.1186,2831,,0.1186,0.2795,0.3604,,
"A4","W01241176868",3,5000,,0.0027,0.0083,2380,,0.1186,0.2795,0.3604,,
"A5","W01241176869",1,35,,0.5521,0.0118,1869,,0.0000,0.0000,0.3077,,
"A5","W01241176869",2,5000,,0.0030,0.0092,2270,,0.0000,0.0000,0.3077,,
"A6","W01241176870",1,35,,0.5369,0.0118,1464,,0.0000,0.0000,0.3357,,
"A6","W01241176870",2,5000,,0.0031,0.0093,1967,,0.0000,0.0000,0.3357,,
"A7","W01241176871",1,35,,0.5369,0.0118,1849,,0.0000,0.0000,0.4036,,
"A7","W01241176871",2,5000,,0.0022,0.0065,2187,,0.0000,0.0000,0.4036,,
"A8","W01241176872",1,35,,0.5682,0.0118,2008,,0.0000,0.0000,0.2162,,
"A8","W01241176872",2,5000,,0.0039,0.0117,3250,,0.0000,0.0000,0.2162,,
"A9","W01241176873",1,35,,0.5521,0.0118,1793,,0.0000,0.0000,0.3140,,
"A9","W01241176873",2,5000,,0.0028,0.0084,2224,,0.0000,0.0000,0.3140,,
"A10","W01241176874",1,35,,0.5369,0.0118,1756,,0.3843,1.2270,0.3861,,
"A10","W01241176874",2,344,11.5,0.2415,0.0443,1143,,0.3843,1.2270,0.3861,,
"A10","W01241176874",3,448,23.3,0.3643,0.0894,1619,,0.3843,1.2270,0.3861,,
"A10","W01241176874",4,486,23.0,0.2852,0.0884,1724,,0.3843,1.2270,0.3861,,
"A10","W01241176874",5,667,42.2,0.3359,0.1621,3756,,0.3843,1.2270,0.3861,,
"A10","W01241176874",6,5000,,0.0018,0.0056,1803,,0.3843,1.2270,0.3861,,
"A11","W01241176875",1,35,,0.5682,0.0118,2003,,0.1832,0.4358,0.4411,,
"A11","W01241176875",2,664,100.0,0.4358,0.1832,5449,,0.1832,0.4358,0.4411,,
"A11","W01241176875",3,5000,,0.0027,0.0080,2712,,0.1832,0.4358,0.4411,,
"A12","W01241176876",1,35,,0.5521,0.0118,1984,,0.2622,0.8048,0.2843,,
"A12","W01241176876",2,486,50.1,0.4823,0.1313,1320,,0.2622,0.8048,0.2843,,
"A12","W01241176876",3,659,49.9,0.3224,0.1309,3119,,0.2622,0.8048,0.2843,,
"A12","W01241176876",4,5000,,0.0037,0.0111,3018,,0.2622,0.8048,0.2843,,
"B1","W01241176877",1,35,,0.5521,0.0118,1985,,0.0000,0.0000,0.1537,,
"B1","W01241176877",2,5000,,0.0018,0.0054,1599,,0.0000,0.0000,0.1537,,
"B2","W01241176878",1,35,,0.5682,0.0118,1438,,0.0000,0.0000,0.2687,,
"B2","W01241176878",2,5000,,0.0022,0.0068,1664,,0.0000,0.0000,0.2687,,
"B3","W01241176879",1,35,,0.5521,0.0118,1838,,0.0000,0.0000,0.4052,,
"B3","W01241176879",2,5000,,0.0026,0.0078,844,,0.0000,0.0000,0.4052,,
"B4","W01241176880",1,35,,0.5088,0.0118,2030,,0.0042,0.0015,0.2725,,
"B4","W01241176880",2,4641,100.0,0.0015,0.0042,1741,,0.0042,0.0015,0.2725,,
"B4","W01241176880",3,5000,,0.0006,0.0017,633,,0.0042,0.0015,0.2725,,
"B5","W01241176881",1,35,,0.5521,0.0118,1626,,0.0946,0.2242,0.2568,,
"B5","W01241176881",2,667,100.0,0.2242,0.0946,1952,,0.0946,0.2242,0.2568,,
"B5","W01241176881",3,5000,,0.0022,0.0065,2073,,0.0946,0.2242,0.2568,,
"B6","W01241176882",1,35,,0.5225,0.0118,2039,,0.0000,0.0000,0.3716,,
"B6","W01241176882",2,5000,,0.0026,0.0080,2165,,0.0000,0.0000,0.3716,,
"B7","W01241176883",1,35,,0.5088,0.0118,1882,,0.1369,0.3270,0.4066,,
"B7","W01241176883",2,659,100.0,0.3270,0.1369,2701,,0.1369,0.3270,0.4066,,
"B7","W01241176883",3,5000,,0.0027,0.0083,2183,,0.1369,0.3270,0.4066,,
"B8","W01241176884",1,35,,0.5088,0.0118,1657,,0.2479,0.7396,0.3414,,
"B8","W01241176884",2,497,53.3,0.4770,0.1322,1571,,0.2479,0.7396,0.3414,,
"B8","W01241176884",3,681,46.7,0.2626,0.1157,2522,,0.2479,0.7396,0.3414,,
"B8","W01241176884",4,5000,,0.0016,0.0049,1387,,0.2479,0.7396,0.3414,,
"B9","W01241176885",1,35,,0.5369,0.0118,1822,,0.2966,0.7127,0.2975,,
"B9","W01241176885",2,688,100.0,0.7127,0.2966,1286,,0.2966,0.7127,0.2975,,
"B9","W01241176885",3,5000,,0.0031,0.0094,2918,,0.2966,0.7127,0.2975,,
"B10","W01241176886",1,35,,0.5521,0.0118,1777,,0.1404,0.3383,0.4156,,
"B10","W01241176886",2,679,100.0,0.3383,0.1404,2461,,0.1404,0.3383,0.4156,,
"B10","W01241176886",3,5000,,0.0022,0.0066,2128,,0.1404,0.3383,0.4156,,
"B11","W01241176887",1,35,,0.5521,0.0118,1861,,0.2095,0.4572,0.4706,,
"B11","W01241176887",2,679,100.0,0.4572,0.2095,2866,,0.2095,0.4572,0.4706,,
"B11","W01241176887",3,5000,,0.0024,0.0073,2117,,0.2095,0.4572,0.4706,,
"B12","W01241176888",1,35,,0.5369,0.0118,1567,,0.0000,0.0000,0.4334,,
"B12","W01241176888",2,5000,,0.0024,0.0073,1765,,0.0000,0.0000,0.4334,,
"C1","W01241176889",1,35,,0.5369,0.0118,1829,,0.2181,0.4107,0.3898,,
"C1","W01241176889",2,679,100.0,0.4107,0.2181,2350,,0.2181,0.4107,0.3898,,
"C1","W01241176889",3,5000,,0.0023,0.0070,2124,,0.2181,0.4107,0.3898,,
"C2","W01241176890",1,35,,0.5521,0.0118,1708,,0.0000,0.0000,0.0076,,
"C2","W01241176890",2,5000,,0.0031,0.0094,2143,,0.0000,0.0000,0.0076,,
"C3","W01241176891",1,35,,0.5369,0.0118,1568,,0.0000,0.0000,0.4025,,
"C3","W01241176891",2,5000,,0.0028,0.0086,1916,,0.0000,0.0000,0.4025,,
"C4","W01241176892",1,35,,0.5521,0.0118,1684,,0.1740,0.3346,0.3037,,
"C4","W01241176892",2,664,100.0,0.3346,0.1740,1267,,0.1740,0.3346,0.3037,,
"C4","W01241176892",3,5000,,0.0028,0.0086,1331,,0.1740,0.3346,0.3037,,
