Well,Sample ID,500 bp Fragment 500 +/- 10 bp
A1,W01241176960,0
A2,W01241176961,0
A3,W01241176962,0
A4,W01241176963,0
A5,W01241176964,0
A6,W01241176965,0
A7,W01241176966,0
A8,W01241176967,0
A9,W01241176968,0
A10,W01241176969,0
A11,W01241176970,0
A12,W01241176971,0
B1,W01241176972,0
B2,W01241176973,0
B3,W01241176974,0
B4,W01241176975,0
B5,W01241176976,0
B6,W01241176977,0
B7,W01241176426,0
B8,W01241176427,0
B9,W01241176428,1
B10,W01241176429,1
B11,W01241176389,0
B12,W01241176845,0
C1,W01241176846,0
C2,W01241176847,0
C3,W01241176848,0
C4,W01241177036,0
C5,W01241177037,0
C6,W01241177038,0
C7,W01241177039,0
C8,W01241177040,0
C9,W01241177041,0
C10,W01241177042,0
C11,W01241177043,0
C12,W01241177044,0
D1,W01241177045,0
D2,W01241177046,0
D3,W01241177047,0
D4,W01241177048,0
D5,W01241177049,0
D6,W01241177050,0
D7,W01241177051,0
D8,W01241177052,0
D9,W01241177053,0
D10,W01241177054,0
D11,W01241177055,0
D12,W14241177107,0
E1,W01241177108,0
E2,W01241177111,0
E3,W01241177112,0
E4,W01241177113,0
E5,W01241177114,0
E6,W01241177115,0
E7,W14241177117,0
E8,W14241177118,0
E9,W14241177001,0
E10,W01241177139,0
E11,W14241174645,0
E12,W14241174656,0
F1,W01241174753,0
F2,W01241174754,0
F3,W14241175957,0
F4:,,0
F5:,,0
F6:,,0
F7:,,0
F8:,,0
F9:,,0
F10:,,0
F11:,,0
F12:,,0
G1:,,0
G2:,,0
G3:,,0
G4:,,0
G5:,,0
G6:,,0
G7:,,0
G8:,,0
G9:,,0
G10:,,0
G11:,,0
G12:,,0
H1:,,0
H2:,,0
H3:,,0
H4:,,0
H5:,,0
H6:,,0
H7:,,0
H8:,,0
H9:,,0
H10:,,0
H11:,,0
H12:,,1
