Size (bp),"A1: W06241177339","A2: W06241177340","A3: W06241177341","A4: W06241177342","A5: W06241177343","A6: W06241177344","A7: W06241177345","A8: W06241177346","A9: W06241177347","A10: W06241177348","A11: W06241177349","A12: W06241177350","B1: W06241177351","B2: W06241177352","B3: W06241177353","B4: W06241177354","B5: W06241177355","B6: W06241177356","B7: W06241177357","B8: W06241177358","B9: W06241177359","B10: W06241177360","B11: W06241177361","B12: W06241177362","C1: W06241177363","C2: W06241177364","C3: W06241177365","C4: W06241177366","C5: W06241177367","C6: W06241177368","C7: W06241177369","C8: W06241177370","C9: W03241177179","C10: W03241177180","C11: W03241177181","C12: W03241177182","D1: W03241177183","D2: W03241177184","D3: W03241177185","D4: W03241177186","D5: W03241177173","D6: W03241177174","D7: W03241177175","D8: W03241177176","D9: W03241177177","D10: W03241177178","D11: W01241177105","D12: W14241177106","E1: W01241177196","E2: W01241177187","E3: W01241177188","E4: W01241177189","E5: W01241177190","E6: W01241177191","E7: W01241177192","E8: W01241177193","E9: W01241177194","E10: W01241177195","E11: W01241177199","E12: W01241177200","F1: W01241177201","F2: W01241177202","F3: W04241177231","F4: W04241177232","F5: W04241177233","F6: W04241177234","F7: W04241177235","F8: W01241177252","F9: W01241177253","F10: W01241177334","F11: W01241177335","F12: W01241177786","G1: W01241177787","G2: W01241177793","G3: W01241177794","G4: W01241177814","G5:","G6:","G7:","G8:","G9:","G10:","G11:","G12:","H1:","H2:","H3:","H4:","H5:","H6:","H7:","H8:","H9:","H10:","H11:","H12:"
1.57,3.23,1.05,14.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.45,1.21,0.51,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,4.65,0.71,4.67,0.00,6.80,0.00,0.00,1.83,0.00,0.00,0.00,0.10,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,21.45,0.00,0.00,0.00,0.00,2.94,2695.24,1507.84,92.41,0.00,0.00,0.00,0.00,0.00,245.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,0.00,0.10,0.44,0.00,0.00,0.90,0.00,1.54,0.19,0.00,0.00,5.01,0.00,1.01,0.00,0.00,0.00,7.33,0.00,3.05
2.50,4.57,0.31,17.91,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.46,0.19,0.00,0.00,0.00,1.19,0.00,0.00,0.00,0.00,0.00,4.00,1.39,7.83,0.00,6.25,0.00,0.00,1.31,0.70,0.00,0.00,0.00,0.00,0.00,0.00,1.24,0.00,0.00,0.00,0.00,23.18,0.00,0.00,0.00,0.00,2.81,2696.04,1508.59,92.43,0.00,0.00,0.00,0.00,0.35,253.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.77,0.00,0.00,0.00,0.00,0.00,1.88,0.00,1.45,0.77,0.00,0.00,5.64,0.00,0.79,0.66,0.00,0.00,7.93,0.00,6.94
3.43,3.85,1.05,14.76,0.00,0.00,0.00,0.00,1.27,0.00,0.00,0.00,2.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.94,0.00,0.00,0.00,0.00,3.37,0.00,0.00,0.00,0.00,0.00,4.70,1.92,9.89,0.13,8.82,0.00,0.00,1.40,3.41,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.67,0.00,0.00,0.00,0.00,1.96,2696.84,1509.34,93.66,0.00,0.00,0.00,0.00,4.06,265.48,3.17,0.00,0.00,0.00,0.00,0.00,2.46,0.00,2.25,0.50,0.26,0.00,0.00,0.00,2.02,1.62,2.42,2.47,2.13,0.00,5.95,0.00,0.33,2.08,0.00,1.02,9.31,0.00,11.34
4.36,3.03,4.91,10.21,1.43,0.94,0.00,0.00,2.09,0.00,0.00,0.00,6.01,0.00,0.00,0.00,0.00,0.48,0.00,0.20,1.16,0.00,18.35,5.49,0.36,0.00,3.37,6.32,0.00,0.00,0.00,0.00,0.00,6.32,3.18,11.64,3.77,12.45,0.00,5.75,2.48,12.67,6.79,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.58,0.00,0.00,0.00,0.06,2.36,2697.64,1510.09,96.16,0.00,0.69,0.53,0.00,5.58,280.26,18.24,0.00,0.00,0.00,0.00,0.00,7.92,0.00,3.43,1.59,1.74,0.57,0.00,0.00,1.61,2.05,3.98,5.07,5.06,3.80,7.39,1.55,0.86,5.85,0.00,5.29,13.29,0.00,15.72
5.29,4.58,8.09,7.07,5.07,4.44,1.54,0.00,3.78,0.00,1.54,0.00,7.97,1.28,0.00,0.00,0.00,4.44,0.11,2.46,2.72,0.00,16.00,10.29,4.70,0.00,6.66,9.91,1.92,0.00,0.00,0.00,0.00,8.00,6.30,14.64,8.56,16.28,0.00,9.20,4.35,18.87,11.15,4.15,2.33,0.00,0.00,2.50,1.31,0.00,0.00,0.00,0.00,24.85,0.00,0.00,0.00,1.95,5.27,2698.44,1510.84,100.02,0.00,2.60,2.40,0.00,7.18,288.27,25.82,0.00,0.00,0.00,0.00,0.00,13.06,0.00,7.62,3.53,3.90,3.67,0.00,0.00,1.98,1.97,7.83,8.64,8.08,7.81,14.65,5.61,8.33,9.53,0.00,10.01,17.34,3.37,19.04
6.21,15.61,12.02,8.55,9.68,7.54,9.27,0.00,4.18,0.00,6.95,5.05,10.21,5.48,9.88,0.00,1.40,9.34,1.09,6.13,1.91,5.19,11.44,15.92,10.34,0.00,10.83,14.40,7.19,1.41,0.00,4.66,0.34,10.29,10.98,18.99,12.12,20.49,0.00,13.72,7.14,24.23,15.17,9.10,5.35,2.78,0.00,6.59,4.72,0.00,0.00,0.00,0.00,35.29,0.00,0.00,0.00,5.54,9.98,2699.23,1511.59,105.32,2.31,6.82,3.73,0.00,9.79,296.28,33.80,2.42,1.24,0.00,0.00,0.00,19.79,0.00,11.37,5.96,6.27,8.27,0.00,0.00,4.39,3.52,11.31,18.55,11.23,12.09,19.78,11.31,13.18,14.23,0.00,12.77,21.58,8.53,20.67
7.14,22.35,15.67,17.06,9.51,10.63,14.80,0.00,5.62,0.00,12.73,8.54,12.09,16.25,13.98,0.00,6.84,16.49,6.90,11.25,0.17,12.22,10.22,22.41,14.97,0.00,15.93,19.38,11.92,5.35,0.00,7.87,6.52,14.91,15.99,22.81,17.72,25.53,3.80,18.90,17.96,28.80,18.56,14.23,9.40,6.49,0.00,11.73,9.35,0.00,0.00,0.00,0.00,41.28,0.00,0.00,2.61,10.37,14.88,2700.03,1512.34,108.25,5.11,12.81,5.24,0.00,14.39,312.07,42.18,8.07,5.84,0.00,0.00,0.00,29.39,0.00,16.08,9.55,8.39,13.63,0.00,0.00,8.80,8.22,16.16,22.77,14.78,21.73,25.35,22.64,17.21,17.35,0.00,14.51,25.14,14.56,21.26
8.07,27.47,18.30,32.15,7.99,15.11,19.57,0.00,9.16,0.00,18.31,12.52,15.69,20.94,17.65,0.00,14.18,23.74,10.90,16.88,10.93,19.43,17.93,28.34,17.61,0.00,21.29,23.85,14.62,8.71,0.00,12.74,12.27,22.00,20.11,23.68,22.31,28.79,10.78,22.23,23.61,32.05,19.91,18.15,13.40,13.45,0.00,17.51,16.98,0.00,0.00,0.00,0.00,43.82,0.00,0.00,8.87,14.76,18.42,2700.83,1513.09,111.19,8.26,17.74,11.51,0.00,19.29,327.10,49.23,15.41,12.29,0.00,0.00,0.00,38.62,0.00,20.50,10.37,9.33,18.65,0.00,0.00,13.76,15.57,21.46,24.11,17.32,24.77,29.99,23.82,20.29,16.65,0.00,17.07,28.03,20.38,21.40
9.00,28.75,19.80,47.83,5.52,20.23,22.44,0.00,13.36,0.00,25.29,15.80,20.71,25.10,20.64,0.00,14.07,28.03,15.14,26.71,30.91,24.87,55.79,31.04,18.78,0.00,24.76,20.93,15.46,10.61,0.00,18.49,15.87,28.01,22.18,20.55,22.51,27.27,15.15,22.41,25.12,31.86,18.48,19.55,16.15,15.57,0.00,22.55,18.86,0.00,0.00,0.00,0.00,41.10,0.00,0.00,17.42,16.25,19.32,2701.63,1513.84,115.81,10.98,18.80,15.38,0.00,21.62,341.76,53.59,23.44,20.03,0.00,0.00,0.00,43.38,0.00,22.58,9.92,8.48,21.61,0.00,0.00,21.00,23.34,25.86,21.87,16.90,24.05,32.03,20.36,22.19,13.04,0.00,19.98,29.93,26.88,20.67
9.93,25.78,19.85,54.68,4.12,23.02,22.24,0.00,15.20,0.00,24.23,16.20,24.80,27.82,21.14,0.00,12.22,27.29,18.20,29.23,54.45,26.91,66.60,28.81,18.91,0.00,24.38,16.56,14.46,10.77,0.00,21.67,16.41,28.83,21.08,15.90,18.49,22.13,10.15,19.94,21.77,27.84,15.88,17.75,16.90,17.57,0.00,23.90,19.12,0.00,0.00,0.00,0.00,35.12,0.00,0.00,14.66,13.97,18.29,2702.43,1514.59,118.16,11.67,10.55,19.24,0.00,20.81,349.15,56.02,29.25,28.10,0.00,0.00,0.00,43.71,0.00,20.82,8.35,6.89,17.20,0.00,0.00,22.85,28.09,27.71,17.63,13.71,20.19,31.06,15.07,22.33,10.06,0.00,21.32,29.72,24.39,18.99
