Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,W06241177339,100 bp to 150 bp,0.0013,3.4,0.0159,136,7.59,300,5.3
A1,W06241177339,150 bp to 260 bp,0.0061,15.8,0.0454,223,15.68,300,5.3
A1,W06241177339,200 bp to 4000 bp,0.0359,92.5,0.1783,331,58.58,300,5.3
A1,W06241177339,650 bp to 4000 bp,0.0003,0.7,0.0002,2280,37.08,300,5.3
A2,W06241177340,100 bp to 150 bp,0.0001,0.2,0.0012,129,12.94,300,7.3
A2,W06241177340,150 bp to 260 bp,0.0051,8.0,0.0360,233,10.57,300,7.3
A2,W06241177340,200 bp to 4000 bp,0.0630,98.7,0.2708,383,72.15,300,7.3
A2,W06241177340,650 bp to 4000 bp,0.0021,3.3,0.0023,1484,62.15,300,7.3
A3,W06241177341,100 bp to 150 bp,0.0021,5.5,0.0262,133,9.94,300,3.4
A3,W06241177341,150 bp to 260 bp,0.0211,54.1,0.1736,199,12.78,300,3.4
A3,W06241177341,200 bp to 4000 bp,0.0255,65.5,0.1293,325,72.08,300,3.4
A3,W06241177341,650 bp to 4000 bp,0.0002,0.5,0.0001,2738,29.82,300,3.4
A4,W06241177342,100 bp to 150 bp,0.0011,3.2,0.0137,133,9.86,300,5.2
A4,W06241177342,150 bp to 260 bp,0.0114,33.0,0.0939,200,13.39,300,5.2
A4,W06241177342,200 bp to 4000 bp,0.0275,79.4,0.1395,325,20.93,300,5.2
A4,W06241177342,650 bp to 4000 bp,0.0000,0.0,NaN,NaN,NaN,300,5.2
A5,W06241177343,100 bp to 150 bp,0.0001,0.1,0.0010,134,9.87,300,7.3
A5,W06241177343,150 bp to 260 bp,0.0071,8.4,0.0501,233,10.45,300,7.3
A5,W06241177343,200 bp to 4000 bp,0.0836,98.9,0.3779,364,57.99,300,7.3
A5,W06241177343,650 bp to 4000 bp,0.0013,1.5,0.0013,1603,59.98,300,7.3
A6,W06241177344,100 bp to 150 bp,0.0003,0.9,0.0036,130,11.29,300,7.3
A6,W06241177344,150 bp to 260 bp,0.0033,10.7,0.0240,225,12.89,300,7.3
A6,W06241177344,200 bp to 4000 bp,0.0297,96.7,0.1378,354,42.95,300,7.3
A6,W06241177344,650 bp to 4000 bp,0.0001,0.2,0.0000,2832,26.63,300,7.3
A7,W06241177345,100 bp to 150 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
A7,W06241177345,150 bp to 260 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
A7,W06241177345,200 bp to 4000 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
A7,W06241177345,650 bp to 4000 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
A8,W06241177346,100 bp to 150 bp,0.0000,0.4,0.0001,133,2.90,300,4.8
A8,W06241177346,150 bp to 260 bp,0.0007,20.2,0.0047,227,13.12,300,4.8
A8,W06241177346,200 bp to 4000 bp,0.0030,93.9,0.0163,305,16.20,300,4.8
A8,W06241177346,650 bp to 4000 bp,0.0000,0.0,NaN,NaN,NaN,300,4.8
A9,W06241177347,100 bp to 150 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
A9,W06241177347,150 bp to 260 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
A9,W06241177347,200 bp to 4000 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
A9,W06241177347,650 bp to 4000 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
A10,W06241177348,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,9.0
A10,W06241177348,150 bp to 260 bp,0.0012,1.9,0.0081,248,3.81,300,9.0
A10,W06241177348,200 bp to 4000 bp,0.0637,99.9,0.2577,407,48.85,300,9.0
A10,W06241177348,650 bp to 4000 bp,0.0019,3.0,0.0031,1029,81.61,300,9.0
A11,W06241177349,100 bp to 150 bp,0.0002,0.3,0.0031,129,11.49,300,8.8
A11,W06241177349,150 bp to 260 bp,0.0036,3.9,0.0261,227,12.35,300,8.8
A11,W06241177349,200 bp to 4000 bp,0.0923,98.9,0.3871,392,38.54,300,8.8
A11,W06241177349,650 bp to 4000 bp,0.0002,0.2,0.0001,2833,50.76,300,8.8
A12,W06241177350,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,9.2
A12,W06241177350,150 bp to 260 bp,0.0018,1.5,0.0123,247,4.33,300,9.2
A12,W06241177350,200 bp to 4000 bp,0.1209,100.0,0.4691,424,47.50,300,9.2
A12,W06241177350,650 bp to 4000 bp,0.0045,3.7,0.0070,1044,69.41,300,9.2
B1,W06241177351,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,8.8
B1,W06241177351,150 bp to 260 bp,0.0036,3.3,0.0252,238,7.86,300,8.8
B1,W06241177351,200 bp to 4000 bp,0.1104,99.7,0.4667,389,26.20,300,8.8
B1,W06241177351,650 bp to 4000 bp,0.0004,0.4,0.0007,977,93.34,300,8.8
B2,W06241177352,100 bp to 150 bp,0.0000,0.0,0.0000,114,0.00,300,9.0
B2,W06241177352,150 bp to 260 bp,0.0034,2.3,0.0231,239,7.50,300,9.0
B2,W06241177352,200 bp to 4000 bp,0.1462,99.9,0.5788,415,34.57,300,9.0
B2,W06241177352,650 bp to 4000 bp,0.0061,4.1,0.0112,890,38.67,300,9.0
B3,W06241177353,100 bp to 150 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
B3,W06241177353,150 bp to 260 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
B3,W06241177353,200 bp to 4000 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
B3,W06241177353,650 bp to 4000 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
B4,W06241177354,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,7.4
B4,W06241177354,150 bp to 260 bp,0.0055,6.3,0.0370,243,6.13,300,7.4
B4,W06241177354,200 bp to 4000 bp,0.0830,95.0,0.3931,347,28.81,300,7.4
B4,W06241177354,650 bp to 4000 bp,0.0007,0.8,0.0012,945,60.80,300,7.4
B5,W06241177355,100 bp to 150 bp,0.0000,0.0,0.0005,145,2.55,300,8.7
B5,W06241177355,150 bp to 260 bp,0.0078,3.9,0.0557,232,10.62,300,8.7
B5,W06241177355,200 bp to 4000 bp,0.2023,99.5,0.8658,384,32.84,300,8.7
B5,W06241177355,650 bp to 4000 bp,0.0031,1.5,0.0052,983,60.43,300,8.7
B6,W06241177356,100 bp to 150 bp,0.0000,0.0,0.0001,146,1.38,300,8.8
B6,W06241177356,150 bp to 260 bp,0.0068,3.7,0.0482,231,10.55,300,8.8
B6,W06241177356,200 bp to 4000 bp,0.1825,99.5,0.7873,381,32.54,300,8.8
B6,W06241177356,650 bp to 4000 bp,0.0011,0.6,0.0013,1323,72.18,300,8.8
B7,W06241177357,100 bp to 150 bp,0.0001,0.0,0.0006,144,3.94,300,8.7
B7,W06241177357,150 bp to 260 bp,0.0103,4.1,0.0736,231,10.97,300,8.7
B7,W06241177357,200 bp to 4000 bp,0.2523,99.4,1.1014,377,22.27,300,8.7
B7,W06241177357,650 bp to 4000 bp,0.0005,0.2,0.0008,1011,91.07,300,8.7
B8,W06241177358,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,9.3
B8,W06241177358,150 bp to 260 bp,0.0009,1.0,0.0057,249,3.58,300,9.3
B8,W06241177358,200 bp to 4000 bp,0.0879,98.1,0.3778,383,14.96,300,9.3
B8,W06241177358,650 bp to 4000 bp,0.0000,0.0,NaN,NaN,NaN,300,9.3
B9,W06241177359,100 bp to 150 bp,0.0005,0.5,0.0057,140,5.88,300,7.5
B9,W06241177359,150 bp to 260 bp,0.0155,17.4,0.1220,209,12.45,300,7.5
B9,W06241177359,200 bp to 4000 bp,0.0824,92.7,0.3566,380,45.80,300,7.5
B9,W06241177359,650 bp to 4000 bp,0.0015,1.7,0.0021,1172,68.70,300,7.5
B10,W06241177360,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,9.2
B10,W06241177360,150 bp to 260 bp,0.0018,1.5,0.0119,245,5.17,300,9.2
B10,W06241177360,200 bp to 4000 bp,0.1150,96.5,0.4832,392,17.31,300,9.2
B10,W06241177360,650 bp to 4000 bp,0.0000,0.0,0.0000,653,0.29,300,9.2
B11,W06241177361,100 bp to 150 bp,0.0002,0.1,0.0029,132,10.76,300,9.0
B11,W06241177361,150 bp to 260 bp,0.0061,3.7,0.0443,225,12.38,300,9.0
B11,W06241177361,200 bp to 4000 bp,0.1624,99.1,0.6695,399,28.10,300,9.0
B11,W06241177361,650 bp to 4000 bp,0.0019,1.1,0.0034,917,63.59,300,9.0
B12,W06241177362,100 bp to 150 bp,0.0013,1.0,0.0161,133,10.13,300,6.9
B12,W06241177362,150 bp to 260 bp,0.0331,24.5,0.2529,215,11.68,300,6.9
B12,W06241177362,200 bp to 4000 bp,0.1241,91.9,0.5194,393,53.68,300,6.9
B12,W06241177362,650 bp to 4000 bp,0.0026,1.9,0.0032,1328,66.29,300,6.9
C1,W06241177363,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
C1,W06241177363,150 bp to 260 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
C1,W06241177363,200 bp to 4000 bp,0.0342,100.0,0.1475,382,7.24,300,10.0
C1,W06241177363,650 bp to 4000 bp,0.0000,0.0,NaN,NaN,NaN,300,10.0
C2,W06241177364,100 bp to 150 bp,0.0000,0.0,0.0000,150,0.00,300,9.2
C2,W06241177364,150 bp to 260 bp,0.0006,1.7,0.0040,239,7.62,300,9.2
C2,W06241177364,200 bp to 4000 bp,0.0338,99.8,0.1319,422,63.35,300,9.2
C2,W06241177364,650 bp to 4000 bp,0.0007,2.0,0.0006,1897,53.39,300,9.2
C3,W06241177365,100 bp to 150 bp,0.0000,0.0,0.0000,140,5.84,300,7.6
C3,W06241177365,150 bp to 260 bp,0.0083,10.4,0.0584,235,8.74,300,7.6
C3,W06241177365,200 bp to 4000 bp,0.0798,99.0,0.3268,402,36.14,300,7.6
C3,W06241177365,650 bp to 4000 bp,0.0039,4.8,0.0082,781,37.05,300,7.6
C4,W06241177366,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,7.8
C4,W06241177366,150 bp to 260 bp,0.0119,9.3,0.0829,235,8.45,300,7.8
C4,W06241177366,200 bp to 4000 bp,0.1267,99.4,0.5021,415,46.75,300,7.8
C4,W06241177366,650 bp to 4000 bp,0.0071,5.6,0.0130,907,54.00,300,7.8
C5,W06241177367,100 bp to 150 bp,0.0001,0.1,0.0006,135,7.31,300,8.1
C5,W06241177367,150 bp to 260 bp,0.0055,7.1,0.0389,235,9.30,300,8.1
C5,W06241177367,200 bp to 4000 bp,0.0777,99.3,0.3143,407,28.52,300,8.1
C5,W06241177367,650 bp to 4000 bp,0.0031,3.9,0.0069,741,10.78,300,8.1
C6,W06241177368,100 bp to 150 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
C6,W06241177368,150 bp to 260 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
C6,W06241177368,200 bp to 4000 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
C6,W06241177368,650 bp to 4000 bp,0.0000,NaN,NaN,NaN,NaN,300,NaN
C7,W06241177369,100 bp to 150 bp,0.0000,0.0,0.0000,117,12.94,300,7.7
C7,W06241177369,150 bp to 260 bp,0.0078,7.9,0.0534,239,7.34,300,7.7
C7,W06241177369,200 bp to 4000 bp,0.0979,99.7,0.4156,388,37.66,300,7.7
C7,W06241177369,650 bp to 4000 bp,0.0041,4.2,0.0075,903,31.57,300,7.7
C8,W06241177370,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,5.9
C8,W06241177370,150 bp to 260 bp,0.0105,18.4,0.0731,237,8.20,300,5.9
C8,W06241177370,200 bp to 4000 bp,0.0566,98.8,0.2510,371,73.94,300,5.9
C8,W06241177370,650 bp to 4000 bp,0.0007,1.2,0.0004,2571,33.06,300,5.9
C9,W03241177179,100 bp to 150 bp,0.0008,0.1,0.0096,132,10.42,300,9.5
C9,W03241177179,150 bp to 260 bp,0.0330,2.5,0.2361,230,10.38,300,9.5
C9,W03241177179,200 bp to 4000 bp,1.3259,99.6,4.9812,438,22.85,300,9.5
C9,W03241177179,650 bp to 4000 bp,0.0055,0.4,0.0075,1208,64.78,300,9.5
C10,W03241177180,100 bp to 150 bp,0.0001,0.0,0.0009,141,6.90,300,9.5
C10,W03241177180,150 bp to 260 bp,0.0189,1.7,0.1318,235,8.64,300,9.5
C10,W03241177180,200 bp to 4000 bp,1.1123,99.9,4.1879,437,23.20,300,9.5
C10,W03241177180,650 bp to 4000 bp,0.0058,0.5,0.0089,1073,72.39,300,9.5
C11,W03241177181,100 bp to 150 bp,0.0011,0.1,0.0131,132,10.51,300,9.6
C11,W03241177181,150 bp to 260 bp,0.0382,2.0,0.2723,231,10.49,300,9.6
C11,W03241177181,200 bp to 4000 bp,1.9163,99.7,6.9581,453,28.18,300,9.6
C11,W03241177181,650 bp to 4000 bp,0.0145,0.8,0.0175,1363,60.08,300,9.6
C12,W03241177182,100 bp to 150 bp,0.0002,0.0,0.0022,132,10.65,300,9.5
C12,W03241177182,150 bp to 260 bp,0.0152,1.7,0.1068,234,9.17,300,9.5
C12,W03241177182,200 bp to 4000 bp,0.8754,99.8,3.2607,442,22.28,300,9.5
C12,W03241177182,650 bp to 4000 bp,0.0048,0.6,0.0083,961,75.38,300,9.5
D1,W03241177183,100 bp to 150 bp,0.0004,0.0,0.0048,130,10.95,300,9.5
D1,W03241177183,150 bp to 260 bp,0.0154,2.0,0.1085,233,9.55,300,9.5
D1,W03241177183,200 bp to 4000 bp,0.7835,99.8,2.9413,438,20.26,300,9.5
D1,W03241177183,650 bp to 4000 bp,0.0034,0.4,0.0063,881,72.23,300,9.5
D2,W03241177184,100 bp to 150 bp,0.0000,0.0,NaN,NaN,NaN,300,9.5
D2,W03241177184,150 bp to 260 bp,0.0169,1.6,0.1157,240,6.29,300,9.5
D2,W03241177184,200 bp to 4000 bp,1.0323,99.9,3.9582,429,16.69,300,9.5
D2,W03241177184,650 bp to 4000 bp,0.0006,0.1,0.0015,659,0.90,300,9.5
D3,W03241177185,100 bp to 150 bp,0.0003,0.0,0.0039,133,9.63,300,9.6
