Well,Sample ID,Peak ID,Size (bp),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Size (bp),Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL),DQN,Threshold
"A1","SampA1",1,35,,18.8941,0.4047,5884,35,,174.1313,774.4391,180.5519,9.2,300
"A1","SampA1",2,53,1.0,54.1928,1.7202,1662,53,,174.1313,774.4391,180.5519,9.2,300
"A1","SampA1",3,64,2.7,117.5804,4.6608,5935,64,,174.1313,774.4391,180.5519,9.2,300
"A1","SampA1",4,499,96.3,602.6658,167.7503,9624,499,,174.1313,774.4391,180.5519,9.2,300
"A1","SampA1",5,5000,,0.1622,0.5000,10433,5000,,174.1313,774.4391,180.5519,9.2,300
"A2","SampA2",1,35,,18.7173,0.4122,7391,35,,74.7851,270.4460,75.5604,9.6,300
"A2","SampA2",2,493,100.0,270.4460,74.7851,5675,493,,74.7851,270.4460,75.5604,9.6,300
"A2","SampA2",3,5000,,0.1627,0.5000,12586,5000,,74.7851,270.4460,75.5604,9.6,300
"A3","SampA3",1,35,,20.3101,0.4350,7211,35,,109.3125,399.6977,110.2871,9.7,300
"A3","SampA3",2,476,100.0,399.6977,109.3125,9435,476,,109.3125,399.6977,110.2871,9.7,300
"A3","SampA3",3,5000,,0.1632,0.5000,13430,5000,,109.3125,399.6977,110.2871,9.7,300
"A4","SampA4",1,35,,17.7486,0.3909,6523,35,,83.3761,300.1952,84.5698,9.8,300
"A4","SampA4",2,474,100.0,300.1952,83.3761,7140,474,,83.3761,300.1952,84.5698,9.8,300
"A4","SampA4",3,5000,,0.1626,0.5000,12852,5000,,83.3761,300.1952,84.5698,9.8,300
"A5","SampA5",1,35,,18.2653,0.3801,7109,35,,75.7388,290.4849,77.1026,9.6,300
"A5","SampA5",2,448,100.0,290.4849,75.7388,7948,448,,75.7388,290.4849,77.1026,9.6,300
"A5","SampA5",3,5000,,0.1631,0.5000,14183,5000,,75.7388,290.4849,77.1026,9.6,300
"A6","SampA6",1,35,,18.7864,0.3909,6593,35,,63.1555,242.7891,64.1229,9.7,300
"A6","SampA6",2,437,100.0,242.7891,63.1555,6066,437,,63.1555,242.7891,64.1229,9.7,300
"A6","SampA6",3,5000,,0.1624,0.5000,12525,5000,,63.1555,242.7891,64.1229,9.7,300
"A7","SampA7",1,35,,19.0552,0.3965,7215,35,,56.3028,205.8693,57.1803,9.7,300
"A7","SampA7",2,468,100.0,205.8693,56.3028,5559,468,,56.3028,205.8693,57.1803,9.7,300
"A7","SampA7",3,5000,,0.1625,0.5000,13683,5000,,56.3028,205.8693,57.1803,9.7,300
"A8","SampA8",1,35,,18.6853,0.4002,7610,35,,76.7158,299.1093,77.7976,9.6,300
"A8","SampA8",2,436,100.0,299.1093,76.7158,8379,436,,76.7158,299.1093,77.7976,9.6,300
"A8","SampA8",3,5000,,0.1619,0.5000,13865,5000,,76.7158,299.1093,77.7976,9.6,300
"A9","SampA9",1,35,,17.5459,0.3651,7339,35,,109.2560,431.0022,109.9511,9.5,300
"A9","SampA9",2,50,0.5,18.9898,0.5797,968,50,,109.2560,431.0022,109.9511,9.5,300
"A9","SampA9",3,461,99.5,412.0123,108.6763,11524,461,,109.2560,431.0022,109.9511,9.5,300
"A9","SampA9",4,5000,,0.1636,0.5000,16664,5000,,109.2560,431.0022,109.9511,9.5,300
"A10","SampA10",1,35,,18.1566,0.3778,5965,35,,67.0116,263.7723,67.9079,9.7,300
"A10","SampA10",2,432,100.0,263.7723,67.0116,6278,432,,67.0116,263.7723,67.9079,9.7,300
"A10","SampA10",3,5000,,0.1623,0.5000,11634,5000,,67.0116,263.7723,67.9079,9.7,300
"A11","SampA11",1,35,,19.2524,0.4006,5917,35,,67.1457,253.9771,67.9853,9.7,300
"A11","SampA11",2,446,100.0,253.9771,67.1457,5859,446,,67.1457,253.9771,67.9853,9.7,300
"A11","SampA11",3,5000,,0.1626,0.5000,11304,5000,,67.1457,253.9771,67.9853,9.7,300
"A12","SampA12",1,35,,18.1348,0.3994,6506,35,,90.5000,338.4265,91.4088,9.7,300
"A12","SampA12",2,456,100.0,338.4265,90.5000,7685,456,,90.5000,338.4265,91.4088,9.7,300
"A12","SampA12",3,5000,,0.1627,0.5000,11539,5000,,90.5000,338.4265,91.4088,9.7,300
"B1","SampB1",1,35,,16.8408,0.3607,7248,35,,59.8942,222.4598,60.7945,9.8,300
"B1","SampB1",2,457,100.0,222.4598,59.8942,6305,457,,59.8942,222.4598,60.7945,9.8,300
"B1","SampB1",3,5000,,0.1628,0.5000,14033,5000,,59.8942,222.4598,60.7945,9.8,300
"B2","SampB2",1,35,,16.0230,0.3529,7197,35,,87.0067,344.1227,89.0156,9.7,300
"B2","SampB2",2,424,100.0,344.1227,87.0067,9874,424,,87.0067,344.1227,89.0156,9.7,300
"B2","SampB2",3,5000,,0.1632,0.5000,14841,5000,,87.0067,344.1227,89.0156,9.7,300
"B3","SampB3",1,35,,18.2960,0.3918,6822,35,,56.6728,213.3831,57.5791,9.8,300
"B3","SampB3",2,447,100.0,213.3831,56.6728,5544,447,,56.6728,213.3831,57.5791,9.8,300
"B3","SampB3",3,5000,,0.1631,0.5000,13055,5000,,56.6728,213.3831,57.5791,9.8,300
"B4","SampB4",1,35,,18.1768,0.3893,6411,35,,57.9832,223.9510,58.9375,9.7,300
"B4","SampB4",2,439,100.0,223.9510,57.9832,4934,439,,57.9832,223.9510,58.9375,9.7,300
"B4","SampB4",3,5000,,0.1625,0.5000,11169,5000,,57.9832,223.9510,58.9375,9.7,300
"B5","SampB5",1,35,,19.7580,0.4232,7008,35,,146.8976,553.0954,148.3212,9.7,300
"B5","SampB5",2,455,100.0,553.0954,146.8976,14967,455,,146.8976,553.0954,148.3212,9.7,300
"B5","SampB5",3,5000,,0.1623,0.5000,13526,5000,,146.8976,553.0954,148.3212,9.7,300
"B6","SampB6",1,35,,18.6236,0.3989,7066,35,,54.6617,203.0251,55.8910,9.7,300
"B6","SampB6",2,457,100.0,203.0251,54.6617,5529,457,,54.6617,203.0251,55.8910,9.7,300
"B6","SampB6",3,5000,,0.1628,0.5000,12963,5000,,54.6617,203.0251,55.8910,9.7,300
"B7","SampB7",1,35,,18.5673,0.3977,6894,35,,66.1992,244.2251,66.8795,9.8,300
"B7","SampB7",2,458,100.0,244.2251,66.1992,6625,458,,66.1992,244.2251,66.8795,9.8,300
"B7","SampB7",3,5000,,0.1627,0.5000,12657,5000,,66.1992,244.2251,66.8795,9.8,300
"B8","SampB8",1,35,,17.9969,0.3745,6582,35,,9.6577,36.2800,10.3723,9.7,300
"B8","SampB8",2,458,100.0,36.2800,9.6577,902,458,,9.6577,36.2800,10.3723,9.7,300
"B8","SampB8",3,5000,,0.1632,0.5000,13633,5000,,9.6577,36.2800,10.3723,9.7,300
"B9","SampB9",1,35,,21.9098,0.4692,6454,35,,72.4648,270.3696,73.5663,9.6,300
"B9","SampB9",2,463,100.0,270.3696,72.4648,4812,463,,72.4648,270.3696,73.5663,9.6,300
"B9","SampB9",3,5000,,0.1622,0.5000,9123,5000,,72.4648,270.3696,73.5663,9.6,300
"B10","SampB10",1,35,,21.1271,0.4525,6873,35,,37.7044,141.6398,38.5717,9.7,300
"B10","SampB10",2,458,100.0,141.6398,37.7044,3209,458,,37.7044,141.6398,38.5717,9.7,300
"B10","SampB10",3,5000,,0.1621,0.5000,10994,5000,,37.7044,141.6398,38.5717,9.7,300
"B11","SampB11",1,35,,20.3886,0.4490,7733,35,,108.4806,412.2196,109.3509,9.6,300
"B11","SampB11",2,456,100.0,412.2196,108.4806,9195,456,,108.4806,412.2196,109.3509,9.6,300
"B11","SampB11",3,5000,,0.1624,0.5000,12868,5000,,108.4806,412.2196,109.3509,9.6,300
"B12","SampB12",1,35,,18.9342,0.4055,7088,35,,65.7924,244.9194,66.5213,9.8,300
"B12","SampB12",2,451,100.0,244.9194,65.7924,6342,451,,65.7924,244.9194,66.5213,9.8,300
"B12","SampB12",3,5000,,0.1625,0.5000,11971,5000,,65.7924,244.9194,66.5213,9.8,300
"C1","SampC1",1,35,,39.3720,0.8911,5283,35,,1223.6958,4545.0659,1225.6715,9.9,300
"C1","SampC1",2,451,100.0,4545.0659,1223.6958,55428,451,,1223.6958,4545.0659,1225.6715,9.9,300
"C1","SampC1",3,5000,,0.1633,0.5000,5454,5000,,1223.6958,4545.0659,1225.6715,9.9,300
"C2","SampC2",1,35,,20.8812,0.4472,8111,35,,0.0000,0.0000,6.4773,8.2,300
"C2","SampC2",2,5000,,0.1589,0.5000,5387,5000,,0.0000,0.0000,6.4773,8.2,300
"C3","SampC3",1,35,,49.0852,1.0513,7391,35,,0.0000,0.0000,12.1773,7.3,300
"C3","SampC3",2,5000,,0.1613,0.5000,2675,5000,,0.0000,0.0000,12.1773,7.3,300
"C4","SampC4",1,35,,66.9702,1.4750,5741,35,,0.0000,0.0000,15.4413,7.7,300
"C4","SampC4",2,5000,,0.1602,0.5000,2048,5000,,0.0000,0.0000,15.4413,7.7,300
"C5","SampC5",1,35,,49.1968,1.1134,5852,35,,0.0000,0.0000,13.4839,8.3,300
"C5","SampC5",2,5000,,0.1599,0.5000,2588,5000,,0.0000,0.0000,13.4839,8.3,300
"C6","SampC6",1,35,,50.1568,1.0742,6456,35,,0.0000,0.0000,11.7065,8.0,300
"C6","SampC6",2,5000,,0.1610,0.5000,2768,5000,,0.0000,0.0000,11.7065,8.0,300
"C7","SampC7",1,35,,54.9538,1.2103,6402,35,,0.0000,0.0000,12.7421,7.1,300
"C7","SampC7",2,5000,,0.1610,0.5000,2518,5000,,0.0000,0.0000,12.7421,7.1,300
"C8","SampC8",1,35,,75.5495,1.6639,4755,35,,0.0000,0.0000,12.7658,7.1,300
"C8","SampC8",2,5000,,0.1614,0.5000,1230,5000,,0.0000,0.0000,12.7658,7.1,300
"C9","SampC9",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"C10","SampC10",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"C11","SampC11",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"C12","SampC12",1,35,,45.5581,0.9757,5847,35,,0.0000,0.0000,14.8630,8.2,300
"C12","SampC12",2,5000,,0.1598,0.5000,2844,5000,,0.0000,0.0000,14.8630,8.2,300
"D1","SampD1",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D2","SampD2",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D3","SampD3",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D4","SampD4",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D5","SampD5",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D6","SampD6",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D7","SampD7",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D8","SampD8",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D9","SampD9",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D10","SampD10",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D11","SampD11",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"D12","SampD12",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E1","SampE1",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E2","SampE2",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E3","SampE3",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E4","SampE4",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E5","SampE5",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E6","SampE6",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E7","SampE7",1,35,,3166.5613,0.5000,56869,35,,0.0000,0.0000,0.0010,N/A (Size threshold is larger than upper marker start point),300
"E7","SampE7",2,5000,,,,0,5000,,0.0000,0.0000,0.0010,N/A (Size threshold is larger than upper marker start point),300
"E8","SampE8",1,35,,Inf,Inf,416,35,,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E8","SampE8",2,5000,,Inf,Inf,3,5000,,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E9","SampE9",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E10","SampE10",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E11","SampE11",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"E12","SampE12",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"F1","SampF1",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
"F2","SampF2",-,-,-,-,-,-,-,-,0.0000,0.0000,0.0000,N/A (Upper Marker was set at time zero),300
