Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN
A1,SampA1,100 bp to 150 bp,0.0836,0.0,1.1759,117,11.67,300,9.2
A1,SampA1,150 bp to 260 bp,2.3247,1.3,15.8509,241,7.43,300,9.2
A1,SampA1,200 bp to 4000 bp,173.8249,96.3,565.4276,506,61.67,300,9.2
A1,SampA1,200 bp to 6000 bp,179.9251,99.7,451.7623,655,131.90,300,9.2
A2,SampA2,100 bp to 150 bp,0.0171,0.0,0.2263,124,12.56,300,9.6
A2,SampA2,150 bp to 260 bp,0.5871,0.8,4.0216,240,9.29,300,9.6
A2,SampA2,200 bp to 4000 bp,75.4325,99.8,263.2363,472,45.47,300,9.6
A2,SampA2,200 bp to 6000 bp,81.4643,107.8,166.7308,804,150.05,300,9.6
A3,SampA3,100 bp to 150 bp,0.0358,0.0,0.4784,123,12.53,300,9.7
A3,SampA3,150 bp to 260 bp,0.8422,0.8,5.7868,239,9.30,300,9.7
A3,SampA3,200 bp to 4000 bp,110.1102,99.8,390.2711,464,41.63,300,9.7
A3,SampA3,200 bp to 6000 bp,116.1882,105.4,274.9001,696,146.76,300,9.7
A4,SampA4,100 bp to 150 bp,0.0508,0.1,0.6670,125,11.73,300,9.8
A4,SampA4,150 bp to 260 bp,0.4737,0.6,3.3014,236,10.95,300,9.8
A4,SampA4,200 bp to 4000 bp,84.3562,99.7,290.5169,478,48.15,300,9.8
A4,SampA4,200 bp to 6000 bp,90.3745,106.9,191.6812,776,148.04,300,9.8
A5,SampA5,100 bp to 150 bp,0.0239,0.0,0.3126,126,11.77,300,9.6
A5,SampA5,150 bp to 260 bp,0.8095,1.0,5.5946,238,9.57,300,9.6
A5,SampA5,200 bp to 4000 bp,76.9151,99.8,277.6549,456,54.27,300,9.6
A5,SampA5,200 bp to 6000 bp,82.9822,107.6,174.8282,781,153.76,300,9.6
A6,SampA6,100 bp to 150 bp,0.0011,0.0,0.0142,125,13.86,300,9.7
A6,SampA6,150 bp to 260 bp,0.5048,0.8,3.4771,239,8.88,300,9.7
A6,SampA6,200 bp to 4000 bp,63.9974,99.8,233.7042,451,51.82,300,9.7
A6,SampA6,200 bp to 6000 bp,70.0031,109.2,138.5195,832,154.65,300,9.7
A7,SampA7,100 bp to 150 bp,0.0206,0.0,0.2674,126,11.58,300,9.7
A7,SampA7,150 bp to 260 bp,0.3511,0.6,2.4180,239,9.83,300,9.7
A7,SampA7,200 bp to 4000 bp,57.0676,99.8,198.1392,474,51.23,300,9.7
A7,SampA7,200 bp to 6000 bp,63.0483,110.3,116.1996,893,149.99,300,9.7
A8,SampA8,100 bp to 150 bp,0.0205,0.0,0.2592,130,11.62,300,9.6
A8,SampA8,150 bp to 260 bp,0.6029,0.8,4.1411,239,9.44,300,9.6
A8,SampA8,200 bp to 4000 bp,77.6690,99.8,288.1044,444,50.40,300,9.6
A8,SampA8,200 bp to 6000 bp,83.5912,107.4,180.9711,760,155.83,300,9.6
A9,SampA9,100 bp to 150 bp,0.0027,0.0,0.0356,127,12.68,300,9.5
A9,SampA9,150 bp to 260 bp,1.0969,1.0,7.3755,245,5.71,300,9.5
A9,SampA9,200 bp to 4000 bp,109.2860,99.4,404.0410,445,39.42,300,9.5
A9,SampA9,200 bp to 6000 bp,115.3369,104.9,280.6771,676,150.36,300,9.5
A10,SampA10,100 bp to 150 bp,0.0012,0.0,0.0157,131,15.58,300,9.7
A10,SampA10,150 bp to 260 bp,0.4842,0.7,3.2711,243,6.75,300,9.7
A10,SampA10,200 bp to 4000 bp,67.8205,99.9,253.9135,439,51.46,300,9.7
A10,SampA10,200 bp to 6000 bp,73.8031,108.7,151.9383,799,156.87,300,9.7
A11,SampA11,100 bp to 150 bp,0.0193,0.0,0.2584,123,12.36,300,9.7
A11,SampA11,150 bp to 260 bp,0.4073,0.6,2.7667,242,8.19,300,9.7
A11,SampA11,200 bp to 4000 bp,67.8871,99.9,245.8235,454,48.44,300,9.7
A11,SampA11,200 bp to 6000 bp,73.9082,108.7,148.1715,821,153.89,300,9.7
A12,SampA12,100 bp to 150 bp,0.0124,0.0,0.1547,132,9.39,300,9.7
A12,SampA12,150 bp to 260 bp,0.5514,0.6,3.7708,241,8.57,300,9.7
A12,SampA12,200 bp to 4000 bp,91.2763,99.9,329.5282,456,45.06,300,9.7
A12,SampA12,200 bp to 6000 bp,97.2959,106.4,218.6595,732,151.51,300,9.7
B1,SampB1,100 bp to 150 bp,0.0039,0.0,0.0487,132,13.16,300,9.8
B1,SampB1,150 bp to 260 bp,0.3207,0.5,2.1887,241,8.26,300,9.8
B1,SampB1,200 bp to 4000 bp,60.6991,99.8,213.7759,467,52.25,300,9.8
B1,SampB1,200 bp to 6000 bp,66.7059,109.7,126.4366,868,151.30,300,9.8
B2,SampB2,100 bp to 150 bp,0.0013,0.0,0.0156,141,4.60,300,9.7
B2,SampB2,150 bp to 260 bp,0.7252,0.8,5.0013,238,8.74,300,9.7
B2,SampB2,200 bp to 4000 bp,88.8668,99.8,326.9265,447,57.59,300,9.7
B2,SampB2,200 bp to 6000 bp,94.8815,106.6,214.4175,728,154.48,300,9.7
B3,SampB3,100 bp to 150 bp,0.0000,0.0,0.0004,149,0.25,300,9.8
B3,SampB3,150 bp to 260 bp,0.3592,0.6,2.4742,239,8.57,300,9.8
B3,SampB3,200 bp to 4000 bp,57.4621,99.8,204.4984,462,54.33,300,9.8
B3,SampB3,200 bp to 6000 bp,63.4929,110.3,117.6320,888,151.87,300,9.8
B4,SampB4,100 bp to 150 bp,0.0006,0.0,0.0084,124,12.14,300,9.7
B4,SampB4,150 bp to 260 bp,0.4123,0.7,2.7851,243,7.37,300,9.7
B4,SampB4,200 bp to 4000 bp,58.8269,99.8,214.6849,451,54.19,300,9.7
B4,SampB4,200 bp to 6000 bp,64.8330,110.0,123.1066,867,154.29,300,9.7
