Size (nt),"A1: TR241116654","A2: TR241116655","A3: TR241116656","A4: TR241116657","A5: TR241116658","A6: TR241116659","A7: TR241116702","A8: TR241116703","A9: TR241116704","A10: TR241116705","A11: TR241116706","A12: TR241116707","B1: TR241116660","B2: TR241116661","B3: TR241116662","B4: TR241116663","B5: TR241116664","B6: TR241116665","B7: TR241116709","B8: TR241116710","B9: TR241116712","B10: TR241116713","B11: TR241116715","B12: TR241116716","C1: TR241116666","C2: TR241116667","C3: TR241116668","C4: TR241116669","C5: TR241116670","C6: TR241116671","C7: TR241116718","C8: TR241116719","C9: TR241116721","C10: TR241116722","C11: TR241116724","C12: TR241116725","D1: TR241116672","D2: TR241116673","D3: TR241116674","D4: TR241116675","D5: TR241116676","D6: TR241116677","D7: TR241116727","D8: TR241116728","D9: TR241116730","D10: TR241116731","D11: TR241116733","D12: TR241116734","E1: TR241116678","E2: TR241116679","E3: TR241116680","E4: TR241116681","E5: TR241116682","E6: TR241116683","E7: TR241116708","E8: TR241116711","E9: TR241116714","E10: TR241116717","E11: TR241116720","E12: TR241116723","F1: TR241116684","F2: TR241116685","F3: TR241116686","F4: TR241116687","F5: TR241116688","F6: TR241116689","F7: TR241116726","F8: TR241116729","F9: TR241116732","F10: R241117373","F11: R241117374","F12: R241117375","G1: TR241116690","G2: TR241116691","G3: TR241116692","G4: TR241116693","G5: TR241116694","G6: TR241116695","G7: R241117383","G8: R241117388","G9: R241117398","G10: R241117430","G11: R241117431","G12: TR241117931","H1: TR241116696","H2: TR241116697","H3: TR241116698","H4: TR241116699","H5: TR241116700","H6: TR241116701","H7: TR241117932","H8: TR241117933","H9: TR241117934","H10: TR241117935","H11: TR241117936","H12:"
1.32,0.00,0.00,2.26,6.09,0.00,0.00,0.00,-2.22,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.45,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,7.34,3.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.09,0.00,0.00,1.33,0.00,0.00,0.00,0.00,7.97,7.17,3.86,0.00,0.00,0.47,0.00,0.00,3.08,4.42,10.32,6.21,0.60,7.47,3.04,6.55,5.62,0.00,3.17,7.40,4.03,1.97,1.74,4.20,0.00,0.00,0.65,5.16,0.00,2.06,0.00,2.78,0.00,4.44,-0.22,0.24,5.63,3.14,0.77,0.00,0.00,0.00,0.00,0.00,7.48
2.04,0.00,0.00,4.98,8.11,0.03,0.00,0.00,0.00,0.00,0.00,0.00,-7.06,2.87,0.00,0.73,-11.18,0.00,0.00,0.00,0.00,0.00,1.07,2.65,1.32,3.27,0.00,0.00,0.00,1.43,0.00,0.00,0.68,3.04,0.00,9.38,4.56,0.00,1.22,0.00,0.00,0.00,0.00,0.61,5.27,0.00,0.00,2.60,0.00,0.00,0.00,0.00,9.92,8.77,5.71,0.00,0.81,1.60,0.00,0.00,6.00,5.91,12.33,8.28,2.43,9.25,5.03,8.14,7.46,0.00,5.01,10.02,5.93,3.71,3.56,6.37,0.00,1.38,2.49,6.77,0.00,3.55,-1.31,5.02,0.00,7.02,0.80,1.34,6.74,4.90,1.79,0.00,0.00,0.00,0.00,0.00,10.62
2.76,0.00,0.00,7.80,10.05,2.07,0.43,0.00,1.27,0.00,0.00,0.00,0.00,5.95,0.00,1.74,0.00,0.00,-3.28,0.00,-5.44,0.00,2.86,4.50,2.40,3.96,0.00,0.00,0.00,3.39,0.00,0.00,2.65,5.30,1.74,11.53,6.06,0.00,3.17,0.00,0.00,0.36,0.00,2.74,7.31,0.00,1.23,3.70,0.74,0.00,0.00,0.00,11.58,10.31,7.63,0.00,2.97,2.90,0.00,0.54,9.13,7.37,14.11,10.00,4.50,11.07,7.05,9.54,9.23,0.00,6.71,12.68,7.87,5.40,5.34,8.64,1.36,3.22,4.23,8.41,0.00,4.94,0.00,7.26,0.00,8.23,2.96,2.45,7.85,6.70,2.81,-10.62,0.00,0.00,0.00,0.00,13.71
3.48,0.00,0.00,10.40,11.63,4.10,1.94,0.00,3.49,2.00,0.00,0.00,0.00,9.20,1.64,2.75,0.00,0.46,0.00,0.00,0.00,-1.86,3.76,6.37,3.58,4.21,0.00,0.00,0.30,5.15,0.00,1.64,4.46,7.30,3.17,13.39,7.35,0.00,4.92,0.22,1.43,1.64,0.00,4.61,8.81,0.00,3.16,4.53,1.35,0.00,0.00,0.00,12.79,11.70,9.31,0.00,4.72,4.27,0.81,1.81,12.04,8.61,15.40,11.22,6.53,12.67,8.83,10.67,10.72,0.00,8.11,15.18,9.71,6.95,6.81,10.67,3.21,4.47,5.54,9.87,0.00,6.22,2.43,9.21,0.00,9.45,4.92,4.54,9.84,7.56,4.79,0.00,0.00,0.00,0.00,0.00,16.34
4.20,0.00,0.00,12.45,12.67,5.99,3.15,0.00,5.14,4.27,0.00,0.00,0.00,12.17,2.32,4.47,0.00,0.98,0.00,-4.57,0.00,0.00,4.66,8.08,4.78,4.15,0.00,0.00,1.41,6.58,0.00,3.33,5.86,8.85,4.15,14.79,8.39,0.72,6.23,1.67,2.54,2.59,0.16,5.98,9.64,0.00,4.56,5.09,1.63,0.00,0.09,-0.79,13.62,12.91,10.55,0.00,5.85,5.54,2.14,2.83,13.22,9.56,16.23,12.04,8.24,13.89,10.27,11.54,11.88,0.77,9.20,16.38,11.42,8.38,7.82,12.18,4.70,5.21,6.36,11.06,0.18,6.87,4.38,9.94,1.21,11.48,6.41,6.21,11.30,8.43,6.36,0.00,0.00,0.72,0.00,0.06,18.22
4.92,0.00,0.00,13.79,13.21,7.76,4.07,0.00,6.17,6.42,0.00,0.78,0.00,14.52,2.99,5.72,0.00,1.73,0.74,0.00,0.00,0.00,6.30,9.60,6.02,3.94,0.57,1.02,2.25,7.80,0.00,4.71,6.93,9.47,4.51,15.34,9.34,1.45,7.16,2.61,3.52,3.22,0.97,6.97,10.02,0.00,5.42,5.58,1.91,0.09,0.83,0.03,14.44,14.05,11.35,0.00,6.50,6.67,3.47,3.46,14.41,10.37,16.95,12.82,9.48,14.82,11.42,12.41,12.41,1.58,10.12,17.58,12.32,9.10,8.52,13.15,5.75,5.85,6.95,12.14,0.66,7.52,5.75,10.68,2.56,12.98,7.40,7.35,12.18,9.97,7.41,0.00,-1.50,1.38,0.14,1.45,19.45
5.64,0.00,0.00,14.60,13.58,9.69,4.79,0.00,6.93,8.64,0.00,2.06,0.00,16.26,4.17,6.69,0.00,2.49,1.92,0.00,0.00,1.13,7.74,11.17,7.50,3.85,1.04,1.73,2.68,9.13,0.00,6.26,8.14,10.08,4.88,15.90,9.96,2.17,8.07,3.03,4.22,3.84,1.68,8.03,10.48,0.00,6.08,6.32,2.19,0.61,1.14,1.57,15.17,15.32,12.00,0.00,7.28,7.91,6.38,4.09,16.33,11.50,18.29,14.12,10.52,15.90,12.62,13.06,12.94,2.62,11.16,20.17,13.22,9.83,9.41,13.94,6.22,6.47,7.89,12.89,1.14,9.09,6.86,11.79,3.74,14.06,8.22,8.23,12.75,11.35,8.20,0.00,0.00,1.87,0.73,2.78,20.59
6.36,0.00,0.00,15.49,14.42,12.23,5.67,0.00,8.19,11.43,0.00,3.31,0.54,17.89,5.82,8.01,0.00,3.86,3.46,0.00,0.31,2.44,9.22,13.34,9.60,4.33,1.51,2.43,3.11,10.16,-3.47,7.62,10.26,11.41,5.95,17.33,10.59,2.84,8.89,3.45,4.92,4.47,2.32,9.02,11.86,-3.66,6.62,7.08,3.77,1.92,1.45,3.28,15.90,16.24,12.56,1.29,8.30,8.90,9.59,6.27,18.32,13.65,19.85,15.48,11.35,17.00,13.56,13.71,14.47,3.69,12.02,23.31,15.52,11.69,10.37,14.62,6.68,7.10,8.97,13.63,2.56,11.35,8.38,13.03,5.38,15.32,9.54,9.38,13.60,12.79,9.31,0.00,0.09,2.51,1.67,4.43,22.61
7.08,0.00,0.00,17.58,16.95,16.10,7.48,1.39,11.11,15.70,0.00,5.33,3.15,20.50,9.09,10.72,0.00,6.91,6.21,1.01,2.23,4.46,11.55,16.99,13.09,6.08,3.17,4.96,4.65,11.20,0.00,8.99,12.50,13.63,8.34,20.17,12.70,3.51,9.70,5.01,7.70,5.10,2.96,10.01,13.76,0.00,7.16,7.84,7.18,5.39,2.64,5.74,18.99,17.16,13.12,3.01,9.33,9.90,13.39,10.16,21.45,16.00,21.41,16.84,12.18,18.11,14.50,16.21,17.30,4.76,12.88,27.54,18.85,14.59,11.33,15.29,8.23,10.19,10.05,16.37,5.32,14.98,11.34,15.28,8.21,17.84,12.43,11.58,15.60,14.94,11.66,0.00,2.18,3.85,3.67,7.14,27.18
7.80,0.00,2.03,22.98,24.12,22.93,11.94,8.67,18.09,23.69,0.00,9.69,8.94,26.09,16.64,16.92,3.40,14.19,12.03,7.53,6.45,8.51,16.74,24.18,20.13,10.50,6.74,11.04,8.30,15.43,4.18,15.06,14.74,18.42,13.82,26.63,16.87,6.64,13.42,8.68,13.88,8.12,6.04,14.68,15.66,0.62,9.66,11.06,14.15,9.95,5.54,9.91,25.38,20.78,15.97,4.73,14.92,14.04,19.20,17.36,28.08,18.35,28.84,22.89,16.35,23.60,18.46,21.45,22.66,9.83,16.64,34.66,24.26,19.83,15.94,18.52,11.78,17.78,15.10,22.06,11.54,21.73,17.75,20.12,13.15,23.87,19.31,16.23,20.49,19.39,17.04,5.24,6.26,6.99,8.18,12.52,37.82
