Well,Sample ID,Peak ID,Size (nt),Percent relative concentration,nmole/L,Concentration (ng/uL),RFU,Notes,TIC (ng/uL),TIM (nmole/L),Total concentration (ng/uL)
"A1","TR241116654",1,15,,96.3082,0.5092,2655,,155.1737,924.0289,153.2346
"A1","TR241116654",2,87,0.2,11.9470,0.3389,145,,155.1737,924.0289,153.2346
"A1","TR241116654",3,132,1.7,64.2803,2.5648,244,,155.1737,924.0289,153.2346
"A1","TR241116654",4,153,1.4,45.1242,2.2199,572,,155.1737,924.0289,153.2346
"A1","TR241116654",5,174,5.6,155.6022,8.7022,2475,,155.1737,924.0289,153.2346
"A1","TR241116654",6,199,3.0,73.7873,4.7178,978,,155.1737,924.0289,153.2346
"A1","TR241116654",7,240,4.1,80.4292,6.4314,1739,,155.1737,924.0289,153.2346
"A1","TR241116654",8,379,4.5,61.2360,6.9378,1239,,155.1737,924.0289,153.2346
"A1","TR241116654",9,409,2.5,29.1919,3.8500,1597,,155.1737,924.0289,153.2346
"A1","TR241116654",10,484,3.0,31.2155,4.7171,947,,155.1737,924.0289,153.2346
"A1","TR241116654",11,589,19.0,152.9257,29.4319,6045,,155.1737,924.0289,153.2346
"A1","TR241116654",12,807,17.8,108.3694,27.6295,5216,,155.1737,924.0289,153.2346
"A1","TR241116654",13,1008,2.5,11.8904,3.8052,1212,,155.1737,924.0289,153.2346
"A1","TR241116654",14,1105,5.5,23.6814,8.5120,2450,,155.1737,924.0289,153.2346
"A1","TR241116654",15,1257,4.4,16.4547,6.7899,1533,,155.1737,924.0289,153.2346
"A1","TR241116654",16,1486,2.7,8.7956,4.1791,1506,,155.1737,924.0289,153.2346
"A1","TR241116654",17,1764,8.2,22.7109,12.7488,1894,,155.1737,924.0289,153.2346
"A1","TR241116654",18,2226,6.7,14.5128,10.4586,2655,,155.1737,924.0289,153.2346
"A1","TR241116654",19,2789,5.7,9.9518,8.8781,2710,,155.1737,924.0289,153.2346
"A1","TR241116654",20,3356,1.3,1.8388,1.9834,784,,155.1737,924.0289,153.2346
"A1","TR241116654",21,8630,0.0,0.0089,0.0246,15,,155.1737,924.0289,153.2346
