Well,Sample ID,Conc. (ng/ul),RQN,28S/18S,Dilution factor
A1,TR241116654,153.2346,2.4,0.9,1
A2,TR241116655,249.3183,2.6,1,2
A3,TR241116656,176.0794,2.9,1,3
A4,TR241116657,204.3541,2.5,0.9,4
A5,TR241116658,172.1127,3,1.2,5
A6,TR241116659,140.7196,2.6,1,6
A7,TR241116702,110.486,9.7,1,7
A8,TR241116703,145.878,9.2,1.2,8
A9,TR241116704,275.0771,9.9,1.4,9
A10,TR241116705,231.2836,8.7,0.6,10
A11,TR241116706,162.4708,9.4,1,11
A12,TR241116707,99.0293,9.1,0.8,12
B1,TR241116660,85.6926,3.3,1.7,13
B2,TR241116661,165.1814,2.3,0.9,14
B3,TR241116662,189.0131,2.9,1.1,15
B4,TR241116663,137.6353,2.6,1.3,16
B5,TR241116664,222.3402,2.8,1.1,17
B6,TR241116665,131.6738,2.8,1.4,18
B7,TR241116709,179.1294,5.3,1.6,19
B8,TR241116710,298.0302,2.5,1.3,20
B9,TR241116712,311.7833,2,0.8,21
B10,TR241116713,212.732,3.1,1.6,22
B11,TR241116715,147.0589,2.5,1,23
B12,TR241116716,154.6685,2.6,0.9,24
C1,TR241116666,146.5656,3.9,1.3,25
C2,TR241116667,85.2805,3.4,1.2,26
C3,TR241116668,109.4734,2.6,1.1,27
C4,TR241116669,73.8554,9.8,1.4,28
C5,TR241116670,107.0023,10,2.3,1
C6,TR241116671,97.7292,9.6,1,2
C7,TR241116718,162.7693,2.9,1.2,3
C8,TR241116719,170.0375,3.1,1.3,4
C9,TR241116721,188.6434,2.7,1.1,5
C10,TR241116722,172.1342,3.4,1.3,6
C11,TR241116724,223.2424,8.7,3.4,7
C12,TR241116725,234.955,8.7,3.1,8
D1,TR241116672,69.5624,9.4,1.1,9
D2,TR241116673,97.9777,9.9,1.5,10
D3,TR241116674,63.017,9.4,1,11
D4,TR241116675,72.3246,9.6,1.1,12
D5,TR241116676,194.7779,9.6,1,13
D6,TR241116677,77.1428,9.5,1,14
D7,TR241116727,228.8868,9.4,1.7,15
D8,TR241116728,163.1739,9.3,2.3,16
D9,TR241116730,166.2623,9.6,1,17
D10,TR241116731,199.4232,9.3,1.5,18
D11,TR241116733,127.8301,8.3,1.8,19
D12,TR241116734,113.9466,9.2,0.9,20
E1,TR241116678,118.171,8.8,0.7,21
E2,TR241116679,160.928,8.9,0.7,22
E3,TR241116680,94.6514,8.8,0.6,23
E4,TR241116681,367.8177,4.2,1.3,24
E5,TR241116682,291.5672,7.6,2.1,25
E6,TR241116683,248.3512,5,2.1,26
E7,TR241116708,418.5384,3.6,1.6,27
E8,TR241116711,230.7666,2.4,0.6,28
E9,TR241116714,195.9682,2.3,0.8,1
E10,TR241116717,279.5261,2.1,0.8,2
E11,TR241116720,142.3897,3.1,1.3,3
E12,TR241116723,213.8226,8.8,2.5,4
F1,TR241116684,147.2315,4.4,1.7,5
F2,TR241116685,308.579,8.9,2,6
F3,TR241116686,382.9408,7.7,2.7,7
F4,TR241116687,217.4025,7.9,1.9,8
F5,TR241116688,241.8237,4.3,1.3,9
F6,TR241116689,255.1125,4,1.1,10
F7,TR241116726,145.3928,8.5,2.2,11
F8,TR241116729,119.6452,9.5,2.1,12
F9,TR241116732,101.2703,6.6,1.9,13
F10,R241117373,276.1687,10,2.2,14
F11,R241117374,241.4628,10,2.2,15
F12,R241117375,254.219,10,2.1,16
G1,TR241116690,240.1185,7.2,2,17
G2,TR241116691,193.3544,7.7,1.7,18
G3,TR241116692,234.8468,6.8,2,19
G4,TR241116693,272.8702,7.4,1.7,20
G5,TR241116694,188.0332,7.2,1.6,21
G6,TR241116695,175.1098,6.9,1.7,22
G7,R241117383,255.0478,10,2.1,23
G8,R241117388,224.714,9.3,1.6,24
G9,R241117398,130.7693,10,2.3,25
G10,R241117430,162.3885,8.9,1.5,26
G11,R241117431,188.689,9.2,1.7,27
G12,TR241117931,325.2128,10,2.2,28
H1,TR241116696,219.4699,9.7,2,24
H2,TR241116697,252.6224,10,1.6,25
H3,TR241116698,321.4955,9.5,1.9,26
H4,TR241116699,224.4391,10,1.6,27
H5,TR241116700,286.4241,10,1.5,28
H6,TR241116701,267.105,10,1.5,15
H7,TR241117932,309.7635,10,2.2,16
H8,TR241117933,305.6711,10,2.2,17
H9,TR241117934,196.4399,10,2.4,18
H10,TR241117935,232.8476,10,2.3,19
H11,TR241117936,200.2325,10,2.3,19
H12:,,96,6.7,1.1,
